"","Hitting"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","AB","H","R","HR","RBI","BB","SO","SBN","AVG","OBP","SLG","OPS","GP"
"*04q56*","C","Logan O'Hoppe","PHI/LAA","C","Act","23","LAA 2<br/>@OAK 3 F","30","14","4","1","0","2","2","3","0",".286",".375",".286",".661","5"
"*000d4*","1B","Albert Pujols","STL","1B,INF","Act","43","STL 3<br/>@PIT 5 F","30","307","83","42","24","68","28","55","-1",".270",".345",".550",".895","109"
"*041qh*","2B","Jose Miranda","MIN","1B,2B,3B,INF","Act","24","MIN 10<br/>@CHW 1 F","30","444","119","45","15","66","28","91","0",".268",".325",".426",".751","125"
"*01tt9*","3B","Anthony Rendon","LAA","3B,INF","Act","32","LAA 2<br/>@OAK 3 F","3","166","38","15","5","24","23","35","2",".229",".326",".380",".706","47"
"*041ai*","SS","Gavin Lux","LAD","2B,SS,INF,OF","Act","25","COL 1<br/>@LAD 6 F","14","421","116","66","6","42","47","95","5",".276",".346",".399",".745","129"
"*02611*","INF","Francisco Lindor","NYM","SS,INF","Act","29","WSH 2<br/>@NYM 9 F","2","630","170","98","26","107","59","133","10",".270",".339",".449",".788","161"
"*03nmw*","OF","Ian Happ","CHC","OF","Act","28","CHC 15<br/>@CIN 2 F","13","573","155","72","17","72","58","149","5",".271",".342",".440",".781","158"
"*02z0s*","OF","Aaron Judge","NYY","OF","Act","30","NYY 2<br/>@TEX 4 F","4","570","177","133","62","131","111","175","13",".311",".425",".686","1.111","157"
"*01s8u*","OF","Mike Trout","LAA","OF","Act","31","LAA 2<br/>@OAK 3 F","1","438","124","85","40","80","54","139","1",".283",".369",".630",".999","119"
"*03pir*","OF","Kyle Tucker","HOU","OF","Act","26","PHI 2<br/>@HOU 3 F","9","544","140","71","30","107","59","95","21",".257",".330",".478",".808","150"
"*050w9*","UT","Gunnar Henderson","BAL","3B,SS,INF","Act","21","TOR 4@BAL 5 TOR 5@BAL 1","30","116","30","12","4","18","16","34","0",".259",".348",".440",".788","34"
"*03m6o*","UT","Yandy Diaz","TB","1B,3B,INF","Res","31","TB 3<br/>@BOS 6 F","20","473","140","71","9","57","78","60","0",".296",".401",".423",".824","137"
"*04n8x*","UT","Jordan Groshans","TOR/MIA","3B,SS,INF","Res","23","ATL 9<br/>@MIA 12 F","30","61","16","9","1","2","4","13","0",".262",".308",".311",".619","17"
"*045qo*","2B","Jazz Chisholm Jr.","MIA","2B,SS,INF","IR","25","ATL 9<br/>@MIA 12 F","15","213","54","39","14","45","21","66","7",".254",".325",".535",".860","60"
"*02bqh*","SS","Trevor Story","BOS","2B,SS,INF","IR","30","TB 3<br/>@BOS 6 F","5","357","85","53","16","66","32","122","13",".238",".303",".434",".737","94"
"*02i2k*","OF","Byron Buxton","MIN","OF","IR","29","MIN 10<br/>@CHW 1 F","16","340","76","61","28","51","34","116","6",".224",".306",".526",".833","92"
"*04q2n*","C","Adley Rutschman","BAL","C","Min","25","TOR 4@BAL 5 TOR 5@BAL 1","30","398","101","70","13","42","65","86","4",".254",".362",".445",".806","113"
"*04qk8*","SS","CJ Abrams","SD/WSH","2B,SS,INF","Min","22","WSH 2<br/>@NYM 9 F","30","284","70","33","2","21","5","50","3",".246",".280",".324",".604","90"
"*04g7n*","SS","Oswald Peraza","NYY","SS,INF","Min","22","NYY 2<br/>@TEX 4 F","30","49","15","8","1","2","6","9","2",".306",".404",".429",".832","18"
"*04y9p*","SS","Anthony Volpe","NYY","SS,INF","Min","21","NYY 2<br/>@TEX 4 F","30","0","0","0","0","0","0","0","0","0","0","0",".000","0"
