playerid,PlayerName,minpos,ADP,Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS
18401,Ronald Acuña Jr.,OF,1.0,ATL,Braves,150.436,584.708,678.917,183.536,112.262,33.1315,2.83843,35.3033,124.55,92.5317,77.9717,2.67769,106.733,10.0808,4.20706,1.94912,55.2007,12.8701
13611,Mookie Betts,OF,5.130000114440918,LAD,Dodgers,148.092,568.026,661.448,160.214,89.9879,35.4895,1.86933,32.867,116.808,88.9672,78.4508,1.64974,104.672,8.74367,4.329,1.8987,13.6744,3.33879
20123,Juan Soto,OF,11.229999542236328,NYY,Yankees,152.675,529.292,664.363,149.226,83.7041,27.2513,1.30694,36.9633,103.668,101.385,126.367,8.54812,110.685,3.51079,4.05547,1.13709,10.8005,4.36982
15640,Aaron Judge,OF,11.449999809265137,NYY,Yankees,143.558,512.962,621.61,141.992,75.7985,21.8767,0.698508,43.6178,104.886,106.481,99.7678,9.57179,167.048,3.81005,4.51479,0.555854,7.45658,2.51915
19556,Yordan Alvarez,DH/OF,17.770000457763672,HOU,Astros,139.892,505.131,600.883,149.193,78.6824,30.2596,1.62329,38.6278,94.3918,107.88,79.8307,5.09778,117.032,10.4826,5.14963,0.28945,0.832736,0.709548
23697,Julio Rodríguez,OF,2.8399999141693115,SEA,Mariners,150.069,597.301,661.828,167.111,98.7405,34.1281,2.83523,31.4068,97.9979,91.7526,50.746,4.11014,154.786,8.89756,3.43886,1.44446,32.1858,9.67505
5361,Freddie Freeman,1B,9.130000114440918,LAD,Dodgers,153.43,588.17,679.939,182.17,114.651,40.0813,1.90138,25.5358,110.931,96.9494,76.0713,9.02283,109.373,10.1436,4.94955,0.604987,15.0781,3.35332
13624,Corey Seager,SS,19.350000381469727,TEX,Rangers,137.406,534.639,602.802,156.298,91.0496,33.9736,0.985173,30.2893,93.1536,90.7656,56.5592,6.15878,97.8427,5.62514,4.79137,1.18768,3.14889,0.997028
13510,José Ramírez,3B,14.84000015258789,CLE,Guardians,151.22,574.841,654.875,160.386,93.9314,36.5753,4.011,25.8684,88.0512,94.5294,69.6866,10.0,77.5339,4.24599,5.80516,0.295572,24.4302,6.20224
26288,Adley Rutschman,C/DH,54.54999923706055,BAL,Orioles,141.47,515.327,603.188,139.93,89.5605,30.7226,1.01566,18.6316,79.0214,68.266,77.7201,3.06728,95.6777,4.63906,4.06339,1.43837,2.43103,0.970637
26289,Gunnar Henderson,3B/SS,33.939998626708984,BAL,Orioles,145.13,545.005,616.535,142.33,82.3415,28.7843,5.68096,25.5234,90.8427,78.0428,62.4886,1.23771,153.741,4.3229,2.91589,1.80288,12.3899,3.63043
25878,Corbin Carroll,OF,4.159999847412109,ARI,Diamondbacks,148.834,556.269,635.532,154.03,91.8375,29.5229,8.08559,24.5844,104.133,76.5039,60.3101,0.659206,130.268,11.7089,3.61363,3.63098,47.3274,8.79423
18345,Kyle Tucker,OF,6.550000190734863,HOU,Astros,151.505,560.47,639.233,157.835,90.6318,32.5184,3.42669,31.258,92.0856,106.533,69.6146,5.49351,95.5187,3.01978,5.54269,0.585746,26.445,5.89368
19755,Shohei Ohtani,DH,13.1899995803833,LAD,Dodgers,142.183,522.53,618.752,145.401,75.449,26.5562,5.31709,38.0783,102.509,96.6411,87.06,9.76197,153.696,4.41025,3.63883,1.11364,18.6957,6.18663
14344,Matt Olson,1B,17.479999542236328,ATL,Braves,154.481,570.998,670.489,153.396,81.9955,28.6947,1.91286,40.7924,104.128,115.015,88.5439,6.10282,150.907,5.2812,5.06033,0.606118,1.19566,0.744183
18360,Austin Riley,3B,20.100000381469727,ATL,Braves,152.192,591.327,665.121,164.907,93.9555,31.5587,2.11626,37.2771,99.6873,101.953,56.7962,2.34215,160.59,10.4065,6.29393,0.296836,2.77257,0.937566
25764,Bobby Witt Jr.,SS,2.7100000381469727,KCR,Royals,150.176,598.987,651.018,166.279,99.7167,30.9455,7.52918,28.0877,97.225,88.8779,39.4165,0.902268,118.506,5.32595,5.56534,1.72274,43.0724,12.3903
17350,Rafael Devers,3B,24.709999084472656,BOS,Red Sox,148.71,569.311,643.038,161.148,90.4019,35.6615,0.995925,34.0884,94.6928,96.5824,60.8016,7.58045,123.792,7.76138,4.01171,1.15286,4.70941,1.76502
19709,Fernando Tatis Jr.,SS/OF,8.029999732971191,SDP,Padres,145.419,564.651,633.586,152.717,87.4273,32.2846,1.45282,31.5525,93.3351,90.0136,59.3132,0.958704,142.667,4.25427,4.29768,1.0693,27.8752,6.54375
