playerid,PlayerName,ADP,Team,ShortName,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,HBP
27498,Spencer Strider,7.079999923706055,ATL,Braves,29.5624,29.5624,0.0,0.0,,178.479,718.006,134.864,72.8706,67.0409,20.3441,250.554,58.8507,7.21381
10310,Zack Wheeler,24.540000915527344,PHI,Phillies,29.7319,29.7319,0.0,0.0,,186.728,759.762,165.928,79.3986,73.0467,20.8059,194.391,44.0114,8.31017
17995,Logan Webb,57.27000045776367,SFG,Giants,29.8269,29.8269,0.0,0.0,,191.215,785.21,183.041,79.1059,72.7774,16.002,171.04,40.4216,7.22373
14107,Kevin Gausman,27.920000076293945,TOR,Blue Jays,29.7365,29.7365,0.0,0.0,,182.675,744.389,162.755,75.7426,69.6832,22.4962,213.017,47.5734,4.30333
16149,Aaron Nola,53.59000015258789,PHI,Phillies,29.776,29.776,0.0,0.0,,186.544,758.092,170.582,87.5665,80.5612,26.104,195.849,40.3657,6.16576
13125,Gerrit Cole,12.859999656677246,NYY,Yankees,30.4701,30.4701,0.0,0.0,,194.896,784.5,165.239,82.3731,75.7833,27.3343,218.806,48.4436,5.6199
17085,Pablo López,34.84000015258789,MIN,Twins,29.9432,29.9432,0.0,0.0,,184.111,753.87,162.777,78.4146,72.1414,21.5887,203.828,48.42,8.75125
19361,Corbin Burnes,23.15999984741211,BAL,Orioles,30.2147,30.2147,0.0,0.0,,186.986,765.701,156.95,79.4677,73.1102,21.9325,206.937,57.7952,8.69593
25436,George Kirby,34.40999984741211,SEA,Mariners,29.819,29.819,0.0,0.0,,181.141,730.138,171.283,77.636,71.4251,22.0459,171.144,26.7739,6.77199
22267,Tarik Skubal,50.029998779296875,DET,Tigers,27.5735,27.5735,0.0,0.0,,154.65,626.842,132.878,64.1397,59.0085,17.0806,176.891,40.4594,5.29546
13774,Zach Eflin,83.02999877929688,TBR,Rays,28.2628,28.2628,0.00300763,0.0,,165.481,669.068,154.604,72.4068,66.6142,20.2442,161.025,28.8624,5.70711
17295,Framber Valdez,58.810001373291016,HOU,Astros,28.8731,28.8731,0.0,0.0,,186.605,776.082,164.824,76.5474,70.4237,16.4532,185.925,60.0201,10.0821
19291,Zac Gallen,40.08000183105469,ARI,Diamondbacks,30.0587,30.0587,0.0,0.0,,186.849,766.052,166.437,82.3248,75.7388,22.0251,191.893,50.1788,7.57435
13743,Max Fried,61.84000015258789,ATL,Braves,27.3539,27.3539,0.0,0.0,,162.352,666.717,151.384,65.5893,60.3421,16.1339,155.519,39.1428,5.37014
15689,Luis Castillo,28.889999389648438,SEA,Mariners,30.2402,30.2402,0.0,0.0,,187.559,768.122,160.923,79.9962,73.5965,23.0906,200.278,56.2138,7.06332
18679,Freddy Peralta,53.13999938964844,MIL,Brewers,28.4421,28.4421,0.0,0.0,,160.998,659.063,129.674,71.9221,66.1683,21.3241,194.014,55.2587,7.23695
17312,Justin Steele,100.80999755859375,CHC,Cubs,28.8726,28.8726,0.0,0.0,,170.31,712.047,161.056,75.5247,69.4828,17.9,165.702,49.9494,7.14184
sa3023345,Yoshinobu Yamamoto,45.619998931884766,LAD,Dodgers,26.7551,26.7551,0.0,0.0,,167.862,684.97,146.831,75.6254,69.5753,21.5172,175.633,45.0909,6.24818
19959,Jesús Luzardo,79.83999633789062,MIA,Marlins,28.4225,28.4225,0.0,0.0,,165.674,687.697,146.985,75.2951,69.2715,21.2442,188.341,53.9622,6.29446
14374,Tyler Glasnow,40.59000015258789,LAD,Dodgers,24.2896,24.2896,0.0,0.0,,140.593,566.442,112.322,58.9898,54.2706,18.2712,177.842,43.4285,2.97092
12768,Sonny Gray,120.48999786376953,STL,Cardinals,28.0516,28.0516,0.0,0.0,,163.835,684.591,149.269,71.7515,66.0114,16.2778,156.514,52.9066,7.29487
31838,Kodai Senga,68.6500015258789,NYM,Mets,28.1809,28.1809,0.0,0.0,,170.276,715.64,141.064,75.7561,69.6956,20.0945,196.513,74.3925,6.38222
22250,Logan Gilbert,62.86000061035156,SEA,Mariners,30.5637,30.5637,0.0,0.0,,183.84,748.542,168.298,84.1679,77.4344,25.7465,183.523,41.4436,5.6656
