playerid,PlayerName,minpos,ADP,Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS
18401,Ronald Acuña Jr.,OF,1.0,ATL,Braves,157,581,679,185,111,34,3,37,132,97,77,3,105,10,4,6,55,14
20123,Juan Soto,OF,11.229999542236328,NYY,Yankees,157,535,679,152,85,27,1,39,118,105,132,10,110,4,5,3,12,5
15640,Aaron Judge,OF,11.449999809265137,NYY,Yankees,152,545,658,147,78,23,1,45,109,112,101,12,176,5,5,2,8,3
13611,Mookie Betts,OF,5.130000114440918,LAD,Dodgers,157,580,679,162,93,35,2,32,113,87,80,2,108,9,4,6,14,4
19556,Yordan Alvarez,DH/OF,17.770000457763672,HOU,Astros,141,515,609,154,82,32,2,38,99,110,79,6,121,10,5,1,1,1
19709,Fernando Tatis Jr.,SS/OF,8.029999732971191,SDP,Padres,156,596,672,166,93,34,1,37,99,104,64,1,145,5,5,2,27,8
23697,Julio Rodríguez,OF,2.8399999141693115,SEA,Mariners,156,602,672,170,100,34,3,33,102,94,51,5,153,9,5,4,31,11
26288,Adley Rutschman,C/DH,54.54999923706055,BAL,Orioles,149,507,600,138,88,30,1,19,85,68,79,4,94,5,4,4,3,1
18345,Kyle Tucker,OF,6.550000190734863,HOU,Astros,157,594,679,170,97,35,4,34,103,110,75,7,102,3,5,2,26,7
13510,José Ramírez,3B,14.84000015258789,CLE,Guardians,154,581,665,164,96,37,4,27,93,97,73,18,82,5,5,1,23,7
26289,Gunnar Henderson,3B/SS,33.939998626708984,BAL,Orioles,143,539,616,141,81,28,5,26,89,76,63,1,146,5,4,5,11,4
13624,Corey Seager,SS,19.350000381469727,TEX,Rangers,138,523,595,153,90,33,1,29,93,87,58,7,97,6,4,4,3,1
25878,Corbin Carroll,OF,4.159999847412109,ARI,Diamondbacks,157,594,679,162,96,32,9,26,104,84,64,1,138,12,5,5,42,11
25764,Bobby Witt Jr.,SS,2.7100000381469727,KCR,Royals,156,614,672,171,101,32,8,30,101,93,43,1,116,6,5,4,42,14
17350,Rafael Devers,3B,24.709999084472656,BOS,Red Sox,154,586,665,167,93,38,1,35,103,102,63,9,127,8,5,4,5,2
14344,Matt Olson,1B,17.479999542236328,ATL,Braves,157,576,679,155,82,29,2,42,107,117,91,7,154,6,5,2,1,1
25931,Michael Harris II,OF,34.029998779296875,ATL,Braves,149,592,644,172,106,38,3,25,89,92,37,1,124,7,5,3,24,7
17678,Alex Bregman,3B,106.80999755859375,HOU,Astros,157,576,679,154,95,32,2,24,98,87,85,1,86,9,5,3,3,1
5361,Freddie Freeman,1B,9.130000114440918,LAD,Dodgers,157,585,679,177,110,39,2,26,104,98,77,10,113,10,5,2,13,4
12916,Francisco Lindor,SS,25.420000076293945,NYM,Mets,156,592,672,150,93,28,2,27,88,90,64,1,131,9,5,1,21,7
19611,Vladimir Guerrero Jr.,1B,33.650001525878906,TOR,Blue Jays,154,582,665,166,98,32,1,36,97,108,69,5,99,7,5,1,7,3
20503,William Contreras,C,79.5199966430664,MIL,Brewers,149,528,602,144,90,29,1,23,81,76,60,2,133,5,4,4,4,2
12533,Marcus Semien,2B/SS,31.290000915527344,TEX,Rangers,157,603,679,160,97,32,3,27,100,78,60,1,111,5,4,6,16,5
19755,Shohei Ohtani,DH,13.1899995803833,LAD,Dodgers,151,548,651,150,79,27,5,38,110,102,89,18,163,5,5,4,19,7
16578,Yandy Díaz,1B/3B,139.35000610351562,TBR,Rays,146,536,630,158,105,32,1,20,93,68,77,1,93,7,4,6,3,1
10155,Mike Trout,OF,76.12999725341797,LAA,Angels,146,539,630,140,76,27,2,35,96,91,73,5,176,9,5,4,3,1
18360,Austin Riley,3B,20.100000381469727,ATL,Braves,157,604,679,166,96,32,2,36,98,112,58,3,164,11,5,1,3,1
19612,Bo Bichette,SS,38.900001525878906,TOR,Blue Jays,149,595,644,174,112,35,2,24,90,85,37,0,125,4,5,4,11,4
11579,Bryce Harper,OF,16.709999084472656,PHI,Phillies,146,530,630,150,85,34,1,29,92,95,89,9,137,6,5,1,12,4
19197,Will Smith,C,85.70999908447266,LAD,Dodgers,130,444,514,114,68,22,2,22,69,75,56,2,89,11,4,1,2,1
16997,Gleyber Torres,2B/SS,90.5199966430664,NYY,Yankees,149,572,644,154,99,29,2,25,85,88,61,1,112,4,5,2,14,5
11493,Manny Machado,3B,72.2300033569336,SDP,Padres,154,595,665,160,98,29,1,32,88,101,61,4,128,3,5,1,6,2
12161,Xander Bogaerts,SS,111.80999755859375,SDP,Padres,149,571,644,158,106,31,2,20,83,77,58,1,117,7,5,3,11,4
16556,Ozzie Albies,2B,22.520000457763672,ATL,Braves,151,590,651,163,98,33,4,28,97,91,46,1,109,6,5,4,13,4
16252,Trea Turner,SS,11.899999618530273,PHI,Phillies,157,618,679,172,111,35,4,22,95,83,46,1,135,5,5,4,25,6
5417,Jose Altuve,2B,42.939998626708984,HOU,Astros,147,556,637,152,96,30,2,24,97,73,64,1,103,7,4,6,15,5
20437,Royce Lewis,3B,53.38999938964844,MIN,Twins,138,533,595,144,87,29,2,27,79,88,50,0,132,7,5,1,13,5
12927,Brandon Nimmo,OF,196.02999877929688,NYM,Mets,146,537,630,145,94,28,5,19,90,63,72,0,127,11,4,6,6,2
13613,Ketel Marte,2B/SS,121.16000366210938,ARI,Diamondbacks,151,572,651,158,97,34,6,21,91,79,65,3,112,6,5,4,7,3
19950,Andrés Giménez,2B,108.6500015258789,CLE,Guardians,151,585,651,155,102,31,4,19,82,76,39,3,122,18,5,4,27,8
9777,Nolan Arenado,3B,102.94000244140625,STL,Cardinals,156,610,672,160,97,32,2,29,86,102,51,5,103,5,5,1,4,2
20036,Isaac Paredes,3B,181.5500030517578,TBR,Rays,134,499,581,123,71,25,1,27,76,81,65,0,100,10,5,2,1,1
21534,Cal Raleigh,C,139.47999572753906,SEA,Mariners,138,498,557,115,60,24,1,29,69,82,50,1,149,4,4,1,1,1
14162,Carlos Correa,SS,257.739990234375,MIN,Twins,138,521,595,137,85,29,2,21,76,77,63,2,125,5,4,2,1,0
20043,Luis Robert Jr.,OF,32.029998779296875,CHW,White Sox,149,591,644,158,92,33,1,32,84,95,37,4,163,10,5,1,19,6
15491,J.P. Crawford,SS,268.0,SEA,Mariners,149,549,644,142,97,31,1,13,82,57,78,1,112,7,4,6,4,2
19251,Pete Alonso,1B,29.059999465942383,NYM,Mets,156,585,672,146,77,25,2,42,96,113,68,8,147,13,5,1,4,2
22581,Alejandro Kirk,C/DH,265.2300109863281,TOR,Blue Jays,100,349,402,96,65,19,1,12,49,49,43,1,45,4,3,3,1,0
19352,Sean Murphy,C,143.4499969482422,ATL,Braves,105,362,420,90,52,20,1,17,55,57,43,0,94,10,3,2,1,0
sa3012640,Jung Hoo Lee,OF,251.64999389648438,SFG,Giants,134,519,581,151,104,32,4,11,78,54,48,6,53,5,4,6,8,3
21479,Nico Hoerner,2B/SS,61.060001373291016,CHC,Cubs,152,591,658,166,121,30,4,12,84,65,47,1,80,11,5,4,31,10
16930,Jonah Heim,C,171.25999450683594,TEX,Rangers,131,471,523,116,72,25,1,18,59,64,42,1,102,3,4,3,3,1
26121,Francisco Alvarez,C,144.97000122070312,NYM,Mets,123,436,497,101,56,18,1,27,63,70,49,1,125,6,4,3,3,1
9218,Paul Goldschmidt,1B,86.97000122070312,STL,Cardinals,156,577,672,155,96,31,1,28,97,88,81,4,154,5,5,4,8,3
29695,Matt McLain,2B/SS,61.189998626708984,CIN,Reds,138,519,595,133,79,28,3,23,84,73,59,1,154,8,4,4,17,7
22664,Gabriel Moreno,C,152.74000549316406,ARI,Diamondbacks,130,464,516,132,92,26,2,12,60,62,41,0,92,6,4,2,7,3
15986,Willy Adames,SS,187.4499969482422,MIL,Brewers,151,574,651,136,77,30,2,27,80,87,67,2,169,4,5,2,7,3
22514,Triston Casas,1B,112.58000183105469,BOS,Red Sox,143,516,616,134,76,27,3,29,85,89,89,4,140,4,5,1,2,1
18568,Luis Arraez,2B,157.77000427246094,MIA,Marlins,143,555,616,176,133,31,3,9,80,58,47,7,43,4,4,5,5,2
27506,Ha-Seong Kim,2B/SS,87.26000213623047,SDP,Padres,143,538,616,133,89,26,1,16,78,59,63,1,119,6,4,5,26,7
18314,Dansby Swanson,SS,124.38999938964844,CHC,Cubs,154,594,665,149,95,29,2,22,79,80,57,0,163,5,5,3,11,4
19290,Randy Arozarena,OF,46.709999084472656,TBR,Rays,151,567,651,147,91,30,3,23,84,85,66,1,163,12,5,1,24,10
21454,Lars Nootbaar,OF,205.16000366210938,STL,Cardinals,126,464,546,119,76,23,2,19,73,68,73,2,111,3,4,2,9,3
27478,Patrick Bailey,C,999.0,SFG,Giants,105,374,416,86,56,19,1,10,42,43,32,0,108,4,3,3,2,1
19918,Daulton Varsho,OF,212.61000061035156,TOR,Blue Jays,138,532,595,127,73,25,3,26,73,79,50,0,138,5,4,3,17,6
17919,Ian Happ,OF,152.97000122070312,CHC,Cubs,154,572,665,142,86,31,3,22,81,83,81,2,158,7,5,1,11,4
25976,Riley Greene,OF,174.2899932861328,DET,Tigers,143,547,616,150,99,28,5,17,80,68,56,0,155,5,4,4,8,3
21711,Oneil Cruz,SS,88.41999816894531,PIT,Pirates,128,487,553,122,72,23,4,23,79,64,53,1,143,4,4,5,19,7
25768,CJ Abrams,SS,40.869998931884766,WSN,Nationals,141,557,609,145,95,29,5,17,78,62,31,1,108,11,4,5,35,10
27647,Anthony Volpe,SS,131.89999389648438,NYY,Yankees,143,543,616,124,72,27,3,21,76,75,56,0,150,7,5,5,23,8
15362,Jeff McNeil,2B/OF,290.1300048828125,NYM,Mets,144,562,623,162,115,33,3,12,76,67,41,0,70,12,5,3,6,2
24610,Steven Kwan,OF,204.4499969482422,CLE,Guardians,151,571,651,160,115,31,5,9,86,55,65,2,70,5,4,6,19,6
sa3020241,Jackson Holliday,SS,219.32000732421875,BAL,Orioles,126,467,546,119,82,24,3,10,62,55,66,2,126,4,4,4,8,4
12856,George Springer,OF,123.58000183105469,TOR,Blue Jays,146,556,630,144,91,25,2,26,90,72,57,1,121,7,4,6,15,5
26294,Bryson Stott,2B/SS,102.41999816894531,PHI,Phillies,146,570,630,152,103,32,2,15,73,70,48,1,109,5,4,3,21,7
19326,Bryan Reynolds,OF,93.61000061035156,PIT,Pirates,149,566,644,152,94,30,4,24,90,80,61,3,139,9,5,4,9,4
16505,Matt Chapman,3B,267.80999755859375,,,144,540,623,124,71,28,2,24,74,78,69,1,180,7,5,2,4,2
11739,J.T. Realmuto,C,72.4800033569336,PHI,Phillies,130,460,513,116,71,23,3,18,61,65,38,2,123,9,4,2,14,4
18882,Brandon Lowe,2B,272.3900146484375,TBR,Rays,117,437,504,105,60,21,1,22,69,64,54,1,131,7,4,3,5,2
21636,Jeremy Peña,SS,222.61000061035156,HOU,Astros,147,581,637,153,102,30,3,19,77,78,38,1,134,8,5,5,14,6
11477,Christian Yelich,OF,84.31999969482422,MIL,Brewers,151,551,651,144,93,29,2,20,92,66,85,6,149,5,4,6,21,5
31347,Zach Neto,SS,270.0299987792969,LAA,Angels,141,543,609,136,85,29,1,20,75,71,41,1,136,15,5,5,11,4
15998,Cody Bellinger,1B/OF,61.0,,,152,592,658,152,93,30,2,27,82,89,54,2,137,5,5,3,19,6
27676,Vinnie Pasquantino,1B/DH,174.5800018310547,KCR,Royals,136,512,588,141,85,31,2,24,79,84,65,4,80,6,4,1,2,1
18577,Ke'Bryan Hayes,3B,167.83999633789062,PIT,Pirates,141,553,609,147,95,31,5,16,74,73,46,1,125,4,5,2,17,6
16478,Kyle Schwarber,OF,92.9000015258789,PHI,Phillies,156,553,672,124,62,20,2,41,104,89,102,4,194,7,4,6,6,2
26299,Josh Jung,3B,113.19000244140625,TEX,Rangers,152,602,658,152,91,30,2,28,80,92,41,0,187,7,5,2,4,2
11609,Willson Contreras,C,140.35000610351562,STL,Cardinals,123,426,493,107,64,22,1,21,65,67,48,0,113,13,4,2,5,3
23003,Yainer Diaz,C/DH,109.6500015258789,HOU,Astros,110,411,441,112,68,22,1,22,56,66,20,0,83,4,3,2,1,1
12861,Anthony Rendon,3B,481.67999267578125,LAA,Angels,133,492,574,126,80,28,1,17,70,69,67,1,103,8,5,2,4,2
22263,Nolan Gorman,2B,192.8699951171875,STL,Cardinals,118,451,511,111,64,20,1,27,66,74,50,1,146,4,4,2,6,2
13152,Jorge Polanco,2B/SS,267.1600036621094,MIN,Twins,141,535,609,134,84,28,1,21,74,76,63,1,138,5,5,1,6,3
13419,Christian Walker,1B,92.4800033569336,ARI,Diamondbacks,154,587,665,150,87,31,2,30,86,99,65,3,137,7,5,1,6,2
12144,Max Kepler,OF,281.1300048828125,MIN,Twins,133,502,574,126,75,25,2,23,72,76,59,1,114,6,4,2,4,2
19858,Luis Rengifo,2B,253.02999877929688,LAA,Angels,141,549,609,143,94,24,4,21,79,69,45,1,108,7,4,5,10,4
17548,Taylor Ward,OF,227.64999389648438,LAA,Angels,138,521,595,137,86,28,1,22,77,77,60,0,126,8,4,2,6,3
17929,Cedric Mullins,OF,152.25999450683594,BAL,Orioles,141,545,609,136,87,28,3,19,74,68,51,1,124,6,4,3,28,8
14161,Byron Buxton,OF,288.8399963378906,MIN,Twins,126,485,546,113,56,26,2,28,70,76,47,2,162,8,4,2,10,3
26031,Vaughn Grissom,2B/SS,253.0,BOS,Red Sox,123,471,532,134,92,29,3,10,63,60,44,1,86,9,4,4,9,4
19566,Nathaniel Lowe,1B,211.02999877929688,TEX,Rangers,157,590,679,158,102,30,2,23,83,85,78,2,156,5,5,2,3,1
19953,Josh Lowe,OF,80.87000274658203,TBR,Rays,126,491,546,127,76,30,2,18,68,71,46,2,150,3,4,1,22,7
21865,Bo Naylor,C,160.10000610351562,CLE,Guardians,97,327,386,75,44,16,1,14,46,45,51,2,90,4,3,2,6,2
20454,Jazz Chisholm Jr.,2B/OF,77.6500015258789,MIA,Marlins,138,537,595,132,78,23,4,27,76,82,47,0,167,5,4,2,27,10
29766,Zack Gelof,2B,133.19000244140625,OAK,Athletics,138,531,595,126,76,28,2,20,73,64,51,1,168,5,4,4,19,7
13301,Max Muncy,1B/3B,181.4199981689453,LAD,Dodgers,125,448,539,102,56,18,1,26,73,76,79,3,136,6,4,1,2,1
30116,Seiya Suzuki,OF,115.41999816894531,CHC,Cubs,139,528,602,140,87,26,3,23,76,82,63,4,138,5,4,1,9,5
15518,Amed Rosario,SS,329.80999755859375,,,136,546,588,150,107,26,6,11,70,62,30,0,104,5,4,3,14,5
17232,Yoán Moncada,2B/3B,378.32000732421875,CHW,White Sox,144,554,623,139,89,29,1,18,69,72,57,1,170,6,4,1,3,1
27790,Evan Carter,OF,138.64999389648438,TEX,Rangers,141,523,609,131,85,25,4,17,74,73,74,2,155,7,4,1,15,7
21618,Alec Bohm,3B,172.4199981689453,PHI,Phillies,143,560,616,155,105,30,1,19,73,78,43,1,109,6,5,2,4,2
19287,Adolis García,OF,46.84000015258789,TEX,Rangers,149,580,644,140,78,28,2,31,82,95,52,1,184,6,5,1,13,5
23792,Alek Thomas,OF,324.8699951171875,ARI,Diamondbacks,131,517,567,135,88,27,5,15,63,66,37,1,109,6,4,3,10,4
17484,Eloy Jiménez,DH/OF,228.89999389648438,CHW,White Sox,141,552,609,153,95,27,1,29,77,89,46,2,125,4,5,2,1,0
16426,Thairo Estrada,2B,137.0,SFG,Giants,139,548,602,143,96,27,2,17,73,67,35,1,119,11,4,4,22,8
17982,Ty France,1B,315.2900085449219,SEA,Mariners,146,559,630,150,101,31,1,18,74,74,42,1,109,21,5,3,1,0
18839,Josh Naylor,1B/OF,129.10000610351562,CLE,Guardians,133,519,574,147,92,32,1,23,73,85,44,7,87,5,4,1,8,3
29617,Henry Davis,OF,238.2899932861328,PIT,Pirates,120,416,483,102,64,21,2,15,55,55,52,3,113,9,3,2,9,4
22275,Jake Burger,3B,160.5800018310547,MIA,Marlins,141,554,609,138,80,28,2,28,74,87,40,1,165,9,4,2,2,1
18900,Leody Taveras,OF,261.3900146484375,TEX,Rangers,136,532,588,138,89,29,3,17,70,69,43,1,130,4,5,4,17,6
24770,James Outman,OF,192.4499969482422,LAD,Dodgers,120,448,518,103,62,19,3,19,62,63,56,1,163,8,4,2,9,4
14551,Anthony Santander,OF,144.67999267578125,BAL,Orioles,149,577,644,145,84,31,1,29,81,92,52,1,142,8,5,1,3,2
19522,TJ Friedl,OF,149.38999938964844,CIN,Reds,134,509,581,130,83,22,6,18,81,62,53,1,103,10,4,5,21,7
9874,DJ LeMahieu,2B,369.8999938964844,NYY,Yankees,136,512,588,131,93,22,2,14,76,57,63,1,111,5,4,5,5,2
20126,Dylan Carlson,OF,584.2899780273438,STL,Cardinals,99,371,427,96,60,22,2,12,53,49,43,0,82,7,3,3,5,2
22244,Jack Suwinski,OF,248.1300048828125,PIT,Pirates,113,418,490,94,52,19,1,23,62,65,62,1,149,5,4,2,8,4
29622,Sal Frelick,OF,286.54998779296875,MIL,Brewers,133,506,574,134,93,27,3,11,64,64,56,1,85,6,4,1,12,5
16535,Danny Jansen,C,250.2899932861328,TOR,Blue Jays,109,391,442,92,51,19,1,22,56,64,39,1,90,8,3,1,1,1
20529,Nolan Jones,OF,58.2599983215332,COL,Rockies,139,521,602,138,83,28,4,23,78,80,70,2,172,5,5,1,16,6
24679,Brendan Donovan,2B/OF,286.260009765625,STL,Cardinals,118,439,511,122,87,22,2,12,70,50,55,2,78,10,3,4,7,3
19470,Tommy Edman,2B,159.97000122070312,STL,Cardinals,130,507,560,134,90,28,3,13,69,62,39,1,92,6,4,5,27,7
23565,Davis Schneider,2B,416.9700012207031,TOR,Blue Jays,99,362,427,84,48,19,1,16,51,50,55,0,114,5,3,2,5,2
18036,Jake Cronenworth,1B/2B,352.2900085449219,SDP,Padres,143,541,616,135,86,29,5,15,70,68,57,2,113,11,5,2,5,2
14221,Jorge Soler,DH/OF,158.74000549316406,,,144,540,623,132,72,26,1,33,88,88,69,3,157,6,4,3,2,1
16472,Rhys Hoskins,1B,203.38999938964844,,,147,551,637,133,73,29,2,29,88,82,71,0,160,6,5,4,4,2
19955,Gavin Lux,2B,255.67999267578125,LAD,Dodgers,107,406,462,108,73,20,4,11,59,53,46,0,91,3,4,4,9,3
22217,Luis Campusano,C,193.94000244140625,SDP,Padres,121,448,494,119,78,21,1,18,56,61,35,0,88,5,3,2,2,1
19599,Chas McCormick,OF,171.5500030517578,HOU,Astros,123,467,532,114,75,18,2,20,64,66,52,0,142,7,4,3,13,5
16725,Jose Trevino,C,570.3499755859375,NYY,Yankees,76,279,301,68,46,13,1,8,32,34,14,0,53,2,2,2,2,1
16622,Luis Urías,2B/3B/SS,485.80999755859375,SEA,Mariners,110,408,476,94,60,19,1,14,53,52,51,0,106,10,4,3,3,1
27815,Jordan Westburg,2B/3B,306.4200134277344,BAL,Orioles,97,374,420,95,59,21,2,13,51,49,35,0,99,5,3,3,6,2
26517,Noelvi Marte,3B,171.61000061035156,CIN,Reds,122,470,525,126,84,25,2,15,60,63,44,1,108,5,4,3,13,5
13066,Teoscar Hernández,OF,149.1300048828125,LAD,Dodgers,141,558,609,144,86,27,1,30,77,92,38,1,175,6,4,2,7,3
26668,Elly De La Cruz,3B/SS,22.579999923706055,CIN,Reds,130,504,560,124,73,24,5,21,69,71,46,2,169,4,4,2,31,11
31837,Masataka Yoshida,DH/OF,182.2899932861328,BOS,Red Sox,131,503,567,147,98,29,2,17,73,75,51,3,72,7,4,2,5,2
16219,J.D. Davis,3B,425.8999938964844,SFG,Giants,123,464,532,114,73,23,1,16,59,60,55,1,156,7,4,2,2,1
27465,Spencer Torkelson,1B,124.41999816894531,DET,Tigers,152,573,658,139,78,30,1,30,83,90,72,1,152,7,5,1,3,1
18373,Ryan Mountcastle,1B,240.7100067138672,BAL,Orioles,133,517,574,135,84,25,1,25,70,79,46,1,140,5,4,2,4,2
26197,Andrew Vaughn,1B/OF,235.2899932861328,CHW,White Sox,147,575,637,151,93,31,2,25,80,80,45,0,126,10,5,3,1,0
19363,Austin Hays,OF,308.05999755859375,BAL,Orioles,134,529,581,135,84,31,2,19,67,72,38,1,130,7,4,2,5,2
24618,Ryan Jeffers,C,249.89999389648438,MIN,Twins,91,317,363,74,43,14,1,15,44,46,35,1,100,5,3,3,3,1
22799,Geraldo Perdomo,SS,428.1000061035156,ARI,Diamondbacks,110,406,476,98,69,19,3,7,53,44,57,1,84,5,4,4,12,5
