playerid,Player,Team,Position,Status,Salary,ADP,Age,%D,POINTS_atc,MEAN,STD,Rank,Rank_round,ADP_round,Keper_Value,Draft_Value,POINTS_steamer,POINTS_fangraphsdc
18401,Ronald Acuna Jr.,ATL,OF,Edgar,38,1000.0,25,-,94.08504633059476,94.08504633059476,0.0,1,1.0,84.0,37.0,83.0,95.71775782095486,94.75212047020268
20123,Juan Soto,SD,OF,sfernand,32,1000.0,25,-,85.29508807418539,85.29508807418539,0.0,2,1.0,84.0,31.0,83.0,85.77805124915581,87.01882833856382
5361,Freddie Freeman,LAD,"1B,INF",Mash,38,1000.0,34,-,80.29453772666625,80.29453772666625,0.0,3,1.0,84.0,37.0,83.0,72.7549998171251,74.68710525024022
19556,Yordan Alvarez,HOU,OF,TYR,27,1000.0,26,-,78.12085511110273,78.12085511110273,0.0,4,1.0,84.0,26.0,83.0,77.53637789354839,76.99593396664832
15640,Aaron Judge,NYY,OF,BBE,31,1000.0,31,-,77.90341494240442,77.90341494240442,0.0,5,1.0,84.0,30.0,83.0,75.25691042487125,75.04387294628172
19755,Shohei Ohtani,LAA,"UT,SP",BBE,38,1000.0,29,-,74.88525455215154,74.88525455215154,0.0,6,1.0,84.0,37.0,83.0,101.6494640774498,72.38379155764089
13611,Mookie Betts,LAD,"2B,SS,INF,OF",sfernand,39,1000.0,31,-,74.42048946160848,74.42048946160848,0.0,7,1.0,84.0,38.0,83.0,70.7756150585393,70.53104020854848
18345,Kyle Tucker,HOU,OF,BBE,33,1000.0,26,-,72.7568085590239,72.7568085590239,0.0,8,1.0,84.0,32.0,83.0,71.43014279568304,76.25052637523487
27498,Spencer Strider,ATL,"SP,RP",JM,10,1000.0,25,-,72.61314479847455,72.61314479847455,0.0,9,1.0,84.0,9.0,83.0,73.13727272028117,73.54760055361275
14344,Matt Olson,ATL,"1B,INF",JM,37,1000.0,29,-,72.57839189637895,72.57839189637895,0.0,10,1.0,84.0,36.0,83.0,68.87691010437283,72.11021917158774
11579,Bryce Harper,PHI,"1B,INF",TCE,32,1000.0,31,-,71.76942225103322,71.76942225103322,0.0,11,1.0,84.0,31.0,83.0,69.24842054652864,69.06143643587355
13125,Gerrit Cole,NYY,SP,TCE,40,1000.0,33,-,70.60949718211486,70.60949718211486,0.0,12,1.0,84.0,39.0,83.0,66.55664289008419,67.1022894508801
13510,Jose Ramirez,CLE,"3B,INF",Mash,37,1000.0,31,-,68.56789311426516,68.56789311426516,0.0,13,2.0,84.0,35.0,82.0,68.71749058736705,69.67695324678503
25878,Corbin Carroll,ARI,OF,JM,8,1000.0,23,-,67.99382467072154,67.99382467072154,0.0,14,2.0,84.0,6.0,82.0,64.40358854200525,66.04437200835687
17350,Rafael Devers,BOS,"3B,INF",Tomy,34,1000.0,27,-,66.95964713094872,66.95964713094872,0.0,15,2.0,84.0,32.0,82.0,67.2326868576846,68.07858586323226
