"","Hitting"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","% of leagues in which player was drafted","Average draft position among all leagues on Fantrax","AB","H","R","HR","RBI","BB","SO","SBN","AVG","OBP","SLG","OPS","GP"
"*04q2n*","C","Adley Rutschman","BAL","C","Act","25","LAA Thu 1:05PM","7","100","47.41","566","153","86","19","76","91","104","1",".270",".375",".431",".806","76"
"*04yk2*","1B","Spencer Torkelson","DET","1B,INF","Act","24","@CHW Thu 2:00AM","22","100","89.14","603","140","79","34","81","62","166","2",".232",".310",".458",".768","81"
"*03mew*","2B","Luis Arraez","MIA","2B,INF","Act","26","PIT Thu 2:10PM","24","100","192.53","572","185","76","8","62","43","42","0",".323",".375",".432",".807","144"
"*02w7p*","3B","Alex Bregman","HOU","3B,INF","Act","29","NYY Thu 2:00AM","36","100","57.33","585","153","98","23","94","88","83","1",".262",".366",".441",".807","152"
"*050w9*","SS","Gunnar Henderson","BAL","3B,SS,INF","Act","22","LAA Thu 1:05PM","6","100","38.87","567","145","99","27","88","76","171","10",".256",".349",".480",".828","77"
"*03pji*","INF","Ke'Bryan Hayes","PIT","3B,INF","Act","26","@MIA Thu 2:10PM","19","100","194.6","524","137","65","13","58","38","117","9",".261",".313",".420",".732","133"
"*045qo*","OF","Jazz Chisholm Jr.","MIA","OF","Act","25","PIT Thu 2:10PM","22","100","93.63","468","115","71","23","68","37","152","19",".246",".306",".451",".757","125"
"*02z0s*","OF","Aaron Judge","NYY","OF","Act","31","@HOU Thu 2:00AM","32","100","7.33","527","150","109","48","109","104","171","7",".285",".404",".603","1.008","145"
"*04ggr*","OF","Jarred Kelenic","ATL","OF","Act","24","@PHI Thu 1:05PM","18","100","235.13","436","99","54","15","56","49","138","6",".227",".309",".397",".706","60"
"*04fhb*","OF","Julio Rodriguez","SEA","OF","Act","22","BOS Thu 8:10PM","8","100","2.72","638","173","101","32","97","53","173","24",".271",".338",".481",".819","78"
"*04y9p*","UT","Anthony Volpe","NYY","SS,INF","Res","22","@HOU Thu 2:00AM","4","100","140.71","526","121","74","21","63","68","151","24",".230",".329",".422",".752","74"
