playerid,PlayerName,ADP,Team,ShortName,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,HBP
27498,Spencer Strider,7.449999809265137,ATL,Braves,30.78,30.78,0.0,0.0,,184.802,752.143,138.547,70.4304,65.3376,21.0674,257.101,61.9443,7.8749
10310,Zack Wheeler,25.31999969482422,PHI,Phillies,32.0,32.0,0.0,0.0,,197.442,812.185,178.922,84.4477,77.6948,24.0441,200.006,47.4356,9.3442
14107,Kevin Gausman,27.610000610351562,TOR,Blue Jays,32.0,32.0,0.0,0.0,,193.298,797.433,167.158,80.8755,74.6187,24.5918,221.646,51.6202,5.1163
16149,Aaron Nola,50.650001525878906,PHI,Phillies,32.0,32.0,0.0,0.0,,195.107,807.895,182.228,89.1187,82.5624,27.8786,202.004,44.368,6.8122
17995,Logan Webb,62.189998626708984,SFG,Giants,32.0,32.0,0.0,0.0,,201.377,842.934,202.496,87.438,78.9498,17.6317,181.053,44.4428,8.1132
17295,Framber Valdez,60.68000030517578,HOU,Astros,30.78,30.78,0.0,0.0,,195.497,810.855,179.491,81.4582,73.5493,16.7693,197.856,62.6499,9.8705
17085,Pablo López,35.130001068115234,MIN,Twins,32.0,32.0,0.0,0.0,,193.266,801.268,171.721,82.1204,75.5504,22.3974,214.633,53.294,8.8156
22267,Tarik Skubal,50.130001068115234,DET,Tigers,29.16,29.16,0.0,0.0,,171.185,702.441,148.217,69.0603,63.4757,19.5531,197.588,46.3864,6.3817
19361,Corbin Burnes,24.649999618530273,MIL,Brewers,32.0,32.0,0.0,0.0,,197.174,827.766,175.544,88.1806,81.196,24.6029,218.193,62.6106,9.194
14374,Tyler Glasnow,37.45000076293945,LAD,Dodgers,25.92,25.92,0.0,0.0,,154.066,631.934,128.361,64.55,59.5381,18.7618,191.891,47.5347,4.2359
19291,Zac Gallen,38.84000015258789,ARI,Diamondbacks,32.0,32.0,0.0,0.0,,196.31,824.139,185.426,90.1883,83.3726,23.9498,202.688,54.127,8.1952
13125,Gerrit Cole,12.710000038146973,NYY,Yankees,32.0,32.0,0.0,0.0,,200.133,830.084,177.286,89.3722,82.9586,29.2417,224.959,53.23,6.5369
13743,Max Fried,63.38999938964844,ATL,Braves,30.78,30.78,0.0,0.0,,184.58,772.623,180.678,80.4057,73.266,20.1397,176.473,46.4493,6.9551
25436,George Kirby,34.970001220703125,SEA,Mariners,32.0,32.0,0.0,0.0,,191.482,786.053,181.279,83.3429,76.7923,25.1055,183.802,32.846,7.8197
13774,Zach Eflin,83.2300033569336,TBR,Rays,30.78,30.78,0.0,0.0,,183.966,758.623,176.141,80.7742,74.2346,23.2615,177.754,35.0537,6.4809
15689,Luis Castillo,28.549999237060547,SEA,Mariners,32.0,32.0,0.0,0.0,,194.922,814.55,174.494,85.3015,78.4534,24.2353,205.31,59.1209,7.4816
sa3023345,Yoshinobu Yamamoto,44.2599983215332,LAD,Dodgers,29.16,29.16,0.0,0.0,,183.708,768.331,170.524,87.1362,81.214,27.4746,199.672,50.1436,6.726
17312,Justin Steele,100.41999816894531,CHC,Cubs,30.78,30.78,0.0,0.0,,181.11,755.886,170.753,81.0223,74.1964,20.1435,173.98,55.1441,7.5022
19959,Jesús Luzardo,79.3499984741211,MIA,Marlins,30.78,30.78,0.0,0.0,,180.777,761.488,159.749,81.2003,75.2088,23.1395,205.731,62.7458,7.4321
31838,Kodai Senga,66.44999694824219,NYM,Mets,30.78,30.78,0.0,0.0,,186.618,793.106,159.796,84.2695,77.6649,22.3734,214.91,78.7744,6.5376
13543,Blake Snell,64.97000122070312,,,30.78,30.78,0.0,0.0,,176.432,749.18,143.775,77.7108,71.7299,20.6033,221.135,81.525,5.263
18679,Freddy Peralta,52.130001068115234,MIL,Brewers,29.16,29.16,0.0,0.0,,165.354,688.977,137.161,72.6793,67.5666,22.2861,197.485,57.6749,7.5326
16511,Jordan Montgomery,140.83999633789062,,,32.0,32.0,0.0,0.0,,190.721,804.729,187.559,90.5562,83.4796,24.2851,173.493,51.868,6.6937
12768,Sonny Gray,116.2300033569336,STL,Cardinals,30.78,30.78,0.0,0.0,,180.139,763.625,170.357,83.4202,76.5756,20.2557,172.156,59.4154,7.8646
16137,Carlos Rodón,159.7100067138672,NYY,Yankees,29.16,29.16,0.0,0.0,,163.187,682.504,138.002,73.3702,68.6485,23.6258,194.206,51.8423,6.881
19427,Shane Bieber,186.77000427246094,CLE,Guardians,30.78,30.78,0.0,0.0,,192.768,813.024,189.039,91.16,83.8091,24.9742,181.951,51.3197,6.3887
13164,Eduardo Rodriguez,194.22999572753906,ARI,Diamondbacks,30.78,30.78,0.0,0.0,,177.128,754.055,172.191,84.8738,78.3726,21.4521,168.883,57.9951,5.5272
10603,Chris Sale,149.38999938964844,ATL,Braves,25.92,25.92,0.0,0.0,,141.036,586.43,124.092,63.0509,58.6116,19.1026,162.555,41.0172,7.4148
12970,Joe Musgrove,101.9000015258789,SDP,Padres,29.16,29.16,0.0,0.0,,176.935,742.8,166.027,81.6488,75.4471,23.493,175.181,45.7483,11.6315
22250,Logan Gilbert,64.29000091552734,SEA,Mariners,32.0,32.0,0.0,0.0,,186.999,775.284,174.847,86.251,80.2458,27.0732,185.401,44.1788,6.2186
17594,Mitch Keller,169.80999755859375,PIT,Pirates,32.0,32.0,0.0,0.0,,190.091,813.745,185.118,96.1285,88.998,23.0432,177.265,66.9289,10.3158
24492,Grayson Rodriguez,999.0,BAL,Orioles,29.16,29.16,0.0,0.0,,165.699,692.144,143.976,72.116,66.2745,20.1969,181.016,57.0998,5.8597
22182,Hunter Greene,139.5500030517578,CIN,Reds,27.54,27.54,0.0,0.0,,158.849,673.661,136.66,79.7679,75.052,26.016,195.279,62.5932,8.6532
18525,Dylan Cease,111.58000183105469,CHW,White Sox,30.78,30.78,0.0,0.0,,178.467,767.602,156.902,87.7622,81.8321,25.8976,200.964,76.1331,7.673
13074,Yu Darvish,214.05999755859375,SDP,Padres,29.16,29.16,0.0,0.0,,175.039,733.607,163.594,86.1972,80.5314,26.6837,177.26,46.9465,9.0014
sa3023346,Shota Imanaga,999.0,CHC,Cubs,25.92,25.92,0.0,0.0,,147.744,616.628,138.529,67.8585,62.8931,20.3394,150.033,39.6732,5.2765
21846,Cole Ragans,108.7699966430664,KCR,Royals,29.16,29.16,0.0,0.0,,177.372,758.65,160.255,83.7491,77.4261,20.8511,185.702,75.0858,6.601
21390,Joe Ryan,83.0,MIN,Twins,30.78,30.78,0.0,0.0,,178.561,746.804,161.417,85.4637,80.4743,28.5102,196.866,47.6737,7.9475
21844,Braxton Garrett,181.02999877929688,MIA,Marlins,29.16,29.16,0.0,0.0,,164.391,696.869,162.721,78.6426,72.3647,19.5078,152.613,45.6526,9.1569
8700,Justin Verlander,129.38999938964844,HOU,Astros,29.16,29.16,0.0,0.0,,177.773,746.944,171.213,88.9648,83.2697,27.9498,167.593,46.4435,6.904
27468,Reid Detmers,231.0,LAA,Angels,30.78,30.78,0.0,0.0,,177.094,755.521,160.526,89.1114,83.3775,26.2099,189.831,68.6096,9.8928
24586,Kyle Bradish,86.3499984741211,BAL,Orioles,30.78,30.78,0.0,0.0,,181.093,765.075,171.028,84.5569,77.7695,22.4556,177.607,57.0738,7.6561
27483,Bobby Miller,999.0,LAD,Dodgers,25.92,25.92,0.0,0.0,,150.647,637.525,143.783,72.9011,67.3304,19.9189,149.615,45.4982,7.2002
23920,Brayan Bello,238.97000122070312,BOS,Red Sox,29.16,29.16,0.0,0.0,,169.476,730.501,176.366,87.5974,80.5103,18.8684,146.481,57.2837,6.6344
25880,Hunter Brown,181.5500030517578,HOU,Astros,25.92,33.92,0.0,0.6525,,151.178,638.381,137.843,69.1657,63.297,16.3945,159.804,56.1533,6.3059
11156,Merrill Kelly,152.02999877929688,ARI,Diamondbacks,30.78,30.78,0.0,0.0,,185.28,794.169,180.891,92.7061,85.893,23.8187,176.082,65.5682,5.7816
12304,Chris Bassitt,140.2899932861328,TOR,Blue Jays,32.0,32.0,0.0,0.0,,193.906,825.482,189.574,97.9514,90.8612,27.3622,171.97,59.3282,10.6041
15474,Lucas Giolito,220.5800018310547,BOS,Red Sox,30.78,30.78,0.0,0.0,,180.616,779.863,174.751,97.9478,91.8785,27.9955,184.871,68.2575,6.7934
26378,Nick Lodolo,249.4199981689453,CIN,Reds,19.44,32.44,0.0,0.5804,,121.037,507.699,105.953,55.0773,51.027,16.0442,142.14,41.786,9.3274
17277,Ranger Suárez,344.4200134277344,PHI,Phillies,27.54,27.54,0.0,0.0,,154.871,664.967,152.832,75.8091,69.4604,18.1371,135.03,58.0742,5.3377
9132,Nathan Eovaldi,203.64999389648438,TEX,Rangers,29.16,29.16,0.0,0.0,,174.342,741.249,174.886,88.015,81.5421,25.1052,158.518,49.1062,6.9677
14168,José Berríos,168.61000061035156,TOR,Blue Jays,30.78,30.78,0.0,0.0,,179.447,761.338,174.331,88.6167,82.2752,26.3588,167.929,49.6781,9.3249
11828,James Paxton,362.4800109863281,,,25.92,25.92,0.0,0.0,,141.883,599.927,130.561,68.222,63.4446,19.7848,146.491,49.3698,5.2314
2520,Lance Lynn,305.8399963378906,STL,Cardinals,30.78,30.78,0.0,0.0,,175.991,752.097,172.184,90.8159,84.7501,26.5551,161.062,55.1957,8.3122
19447,Patrick Sandoval,442.05999755859375,LAA,Angels,29.16,29.16,0.0,0.0,,165.665,713.765,159.137,83.2777,76.7602,20.3952,152.803,71.6406,6.2247
22201,MacKenzie Gore,295.05999755859375,WSN,Nationals,27.54,27.54,0.0,0.0,,151.754,651.864,138.491,75.4648,70.1924,21.3804,159.62,64.2966,5.5239
20633,Yusei Kikuchi,240.47999572753906,TOR,Blue Jays,29.16,29.16,0.0,0.0,,155.544,654.369,140.467,74.879,69.4644,22.5193,161.598,56.2627,6.2558
29911,Andrew Abbott,261.260009765625,CIN,Reds,24.3,24.3,0.0,0.0,,134.377,574.262,123.96,69.8421,65.6163,22.441,146.999,53.1618,4.9542
4676,Charlie Morton,241.97000122070312,ATL,Braves,29.16,29.16,0.0,0.0,,165.39,715.665,153.475,82.813,76.8351,21.0045,178.042,67.6289,11.3433
19867,Griffin Canning,278.260009765625,LAA,Angels,25.92,25.92,0.0,0.0,,144.233,611.158,136.561,72.0941,67.2488,22.0196,147.545,47.6594,5.6936
13431,Marcus Stroman,279.0299987792969,NYY,Yankees,29.16,29.16,0.0,0.0,,167.219,717.063,168.665,81.8286,74.8251,20.0477,142.024,53.1035,6.1997
27768,Eury Pérez,77.41999816894531,MIA,Marlins,24.3,24.3,0.0,0.0,,131.522,557.296,117.06,63.7336,59.695,19.2314,146.774,45.3243,5.5445
14309,Frankie Montas,340.3500061035156,CIN,Reds,25.92,25.92,0.0,0.0,,149.584,638.976,147.989,78.929,73.5127,23.6676,144.26,49.6076,6.0556
14916,Jon Gray,314.5199890136719,TEX,Rangers,29.16,29.16,0.0,0.0,,165.951,711.014,161.875,86.1035,80.1693,24.3394,160.142,56.473,8.0373
25377,Brady Singer,445.7099914550781,KCR,Royals,29.16,29.16,0.0,0.0,,169.339,732.436,179.31,89.1178,82.286,20.7535,139.358,51.3694,8.9687
12447,Seth Lugo,267.05999755859375,KCR,Royals,27.54,27.54,0.0,0.0,,156.197,669.511,160.487,81.6137,75.7291,20.5659,135.256,48.8,5.881
18498,Kenta Maeda,244.5500030517578,DET,Tigers,24.3,34.3,0.0,0.6197,,142.426,600.688,134.796,69.6886,65.0998,20.3669,144.152,40.0916,5.6603
10123,Kyle Gibson,428.05999755859375,STL,Cardinals,30.78,30.78,0.0,0.0,,178.352,771.753,186.521,92.7788,85.4691,23.3443,140.951,57.5952,7.9035
15454,Nick Pivetta,171.16000366210938,BOS,Red Sox,27.54,35.54,0.0,0.621,,163.367,700.742,152.582,85.7238,80.417,24.4324,179.253,63.248,6.3865
21224,Bailey Ober,152.8699951171875,MIN,Twins,27.54,27.54,0.0,0.0,,155.312,657.264,151.952,78.3128,73.5298,25.1605,151.025,37.775,6.2683
15873,Sean Manaea,354.1600036621094,NYM,Mets,24.3,38.3,0.0,0.6293,,147.65,624.482,136.492,70.4052,65.4165,21.3436,152.245,47.7266,6.3416
19853,Michael King,142.89999389648438,SDP,Padres,22.68,32.68,0.0,0.597,,136.875,583.696,124.779,64.1921,59.1552,16.9877,140.04,51.4825,6.3307
9803,Miles Mikolas,416.8399963378906,STL,Cardinals,30.78,30.78,0.0,0.0,,183.575,783.169,198.952,99.2558,92.4044,28.4745,131.228,40.8744,7.3751
27552,Graham Ashcraft,383.8699951171875,CIN,Reds,27.54,27.54,0.0,0.0,,161.286,707.086,175.482,92.929,86.1093,23.494,125.169,57.0661,8.8852
20778,Cristopher Sánchez,239.32000732421875,PHI,Phillies,22.68,35.68,0.0,0.5457,,139.435,597.663,138.761,68.4285,62.6144,16.2674,118.584,49.5558,6.5253
19479,Aaron Civale,204.5800018310547,TBR,Rays,25.92,25.92,0.0,0.0,,147.71,627.484,143.802,73.3986,68.225,21.2374,141.557,40.8323,6.9958
22264,Shane Baz,196.52000427246094,TBR,Rays,19.44,25.44,0.0,0.6374,,114.79,477.176,101.09,51.1316,47.3005,14.6931,125.825,34.5761,5.3568
30134,Tanner Bibee,104.87000274658203,CLE,Guardians,27.54,27.54,0.0,0.0,,163.545,692.988,154.537,81.7263,76.2688,24.8407,158.992,51.2603,6.442
21690,Edward Cabrera,294.260009765625,MIA,Marlins,25.92,25.92,0.0,0.0,,139.281,605.045,123.346,69.279,64.0129,16.1412,152.637,69.9716,7.1407
14444,Hyun Jin Ryu,478.05999755859375,,,25.92,25.92,0.0,0.0,,140.933,603.31,151.632,73.7781,68.1656,19.5897,102.794,36.6276,4.4651
22286,Trevor Rogers,346.260009765625,MIA,Marlins,24.3,24.3,0.0,0.0,,130.944,557.207,123.18,63.815,59.2614,16.7462,131.044,46.5714,6.0919
24968,Reese Olson,270.45001220703125,DET,Tigers,25.92,25.92,0.0,0.0,,146.436,629.293,141.275,74.0573,68.6516,18.8578,138.926,54.4942,5.6517
20099,Chris Paddack,321.6099853515625,MIN,Twins,22.68,39.68,0.0,0.6165,,142.568,604.248,145.918,73.8989,68.9828,21.4169,124.969,35.3798,5.1488
2036,Clayton Kershaw,483.80999755859375,,,16.2,16.2,0.0,0.0,,91.2153,381.494,85.4961,40.2507,36.896,11.1181,91.1023,25.1534,2.9528
19374,Walker Buehler,107.80999755859375,LAD,Dodgers,22.68,22.68,0.0,0.0,,130.611,557.926,130.085,67.7707,63.1519,19.9108,122.935,39.2066,4.8646
19879,Tanner Houck,413.1000061035156,BOS,Red Sox,22.68,36.68,0.0,0.621,,136.213,587.401,136.324,69.9069,64.4862,15.5737,126.626,49.2095,7.5857
11674,Jameson Taillon,308.80999755859375,CHC,Cubs,29.16,29.16,0.0,0.0,,164.085,701.218,169.143,89.4776,83.842,26.9282,140.397,44.3282,6.2745
13361,Steven Matz,345.1600036621094,STL,Cardinals,19.44,29.44,0.0,0.6379,,115.553,485.112,109.766,54.5228,50.3406,15.0604,108.882,34.1873,4.4713
17874,Nestor Cortes,275.5799865722656,NYY,Yankees,22.68,32.68,0.0,0.6651,,136.889,580.136,125.777,67.5735,63.5217,23.1798,142.553,42.1592,4.9613
19409,Dane Dunning,366.1000061035156,TEX,Rangers,29.16,29.16,0.0,0.0,,164.155,718.719,171.1,89.5807,82.8771,22.471,138.501,59.474,8.8395
15423,Andrew Heaney,361.9700012207031,TEX,Rangers,25.92,36.92,0.0,0.6198,,148.057,631.364,137.427,75.4502,70.6853,23.5082,155.155,52.192,8.0367
20531,Kutter Crawford,280.5199890136719,BOS,Red Sox,25.92,36.92,0.0,0.621,,148.299,636.038,147.743,81.4622,76.7439,24.2882,141.36,47.1464,5.9533
3137,Max Scherzer,342.05999755859375,TEX,Rangers,16.2,16.2,0.0,0.0,,93.8391,392.632,84.8366,44.8836,42.1929,15.4105,104.992,24.8501,4.2385
22543,Taj Bradley,259.1000061035156,TBR,Rays,21.06,56.06,0.0,0.6374,,149.162,629.888,136.322,71.8901,66.949,21.7777,155.225,49.2137,5.5758
11423,José Quintana,411.4200134277344,NYM,Mets,29.16,29.16,0.0,0.0,,167.727,727.982,169.859,85.361,78.814,22.0282,141.4,58.9971,5.4249
12703,Trevor Bauer,448.45001220703125,,,17.82,17.82,0.0,0.0,,102.657,432.971,93.1083,49.4417,46.2976,15.4328,112.317,32.1723,4.2838
15890,Luis Severino,309.1600036621094,NYM,Mets,25.92,25.92,0.0,0.0,,143.741,616.649,139.672,73.5482,68.4015,21.625,137.629,47.3746,6.4508
11836,Taijuan Walker,414.45001220703125,PHI,Phillies,30.78,30.78,0.0,0.0,,174.53,761.806,182.289,98.9075,92.186,27.4012,135.978,63.9308,7.5617
27782,Brandon Pfaadt,208.67999267578125,ARI,Diamondbacks,25.92,25.92,0.0,0.0,,142.113,600.393,140.229,74.1404,69.5459,22.4065,129.328,38.3435,6.5197
14078,Michael Wacha,289.0299987792969,KCR,Royals,27.54,27.54,0.0,0.0,,156.208,673.311,163.5,86.6672,81.1422,24.2817,129.86,47.6314,5.7905
23429,JP Sears,394.9700012207031,OAK,Athletics,29.16,29.16,0.0,0.0,,169.57,721.882,162.244,87.0626,81.6866,26.7167,155.304,54.1751,9.0632
18000,Triston McKenzie,242.97000122070312,CLE,Guardians,25.92,25.92,0.0,0.0,,149.638,638.933,139.581,78.4317,73.7542,25.2057,151.554,53.4116,5.2009
6562,Alex Cobb,423.4200134277344,SFG,Giants,16.2,16.2,0.0,0.0,,89.4313,377.666,89.8922,40.5421,36.7659,8.40654,80.3201,24.6008,3.3427
14765,Julio Urías,648.739990234375,LAD,Dodgers,17.82,17.82,0.0,0.0,,101.067,425.188,97.5836,48.8158,45.529,14.7783,94.9785,26.4854,3.9513
27758,Kyle Harrison,270.9700012207031,SFG,Giants,24.3,24.3,0.0,0.0,,139.939,607.902,123.931,69.1526,64.4068,18.6741,155.312,63.7671,8.5659
17479,Jack Flaherty,374.7099914550781,DET,Tigers,27.54,27.54,0.0,0.0,,155.447,679.402,152.005,81.9502,76.1477,20.7263,148.625,61.8045,9.1162
19618,Jordan Hicks,312.4800109863281,SFG,Giants,14.58,52.58,0.0,0.6148,,117.914,504.688,102.655,52.0533,47.353,9.95721,130.36,56.6313,6.029
12049,Kyle Hendricks,431.1000061035156,CHC,Cubs,27.54,27.54,0.0,0.0,,158.493,687.604,175.292,89.9406,83.7863,25.1827,111.079,40.218,6.9661
27589,Logan Allen,336.3900146484375,CLE,Guardians,25.92,25.92,0.0,0.0,,143.098,612.839,136.985,71.42,66.2114,20.4312,134.15,52.4541,4.8825
17606,Cristian Javier,180.32000732421875,HOU,Astros,29.16,29.16,0.0,0.0,,162.32,698.453,149.045,88.7621,84.1527,28.9652,172.751,63.0025,7.4567
30074,Chase Silseth,330.8999938964844,LAA,Angels,21.06,27.06,0.0,0.6476,,120.229,518.866,115.862,62.605,57.9158,16.0573,114.778,50.3536,5.2317
30279,Bryan Woo,182.0,SEA,Mariners,19.44,38.44,0.0,0.6434,,124.8,527.229,111.336,59.3192,55.2407,17.8465,131.152,41.5086,7.0643
29839,Emmet Sheehan,245.19000244140625,LAD,Dodgers,19.44,40.44,0.0,0.6617,,128.236,552.585,113.953,66.0387,61.9781,20.4322,144.725,54.9585,5.9995
19899,Clarke Schmidt,346.5199890136719,NYY,Yankees,25.92,25.92,0.0,0.0,,138.207,593.929,137.465,72.4723,67.2959,20.6697,120.319,46.077,7.1533
30122,Gavin Williams,154.02999877929688,CLE,Guardians,25.92,25.92,0.0,0.0,,143.486,614.237,130.31,72.0526,67.1258,20.7098,148.388,56.5331,6.6006
27474,Max Meyer,426.260009765625,MIA,Marlins,19.44,19.44,0.0,0.0,,109.528,473.122,109.462,57.1184,52.8197,13.8614,98.1038,40.5329,4.4488
23499,Keaton Winn,425.8999938964844,SFG,Giants,19.44,49.44,0.0,0.6148,,139.441,596.869,140.122,68.8926,63.282,16.0512,119.888,43.3025,7.2031
12808,Mike Clevinger,403.739990234375,,,25.92,25.92,0.0,0.0,,143.595,623.243,145.995,81.5858,76.843,24.4431,124.701,46.4652,7.7419
27691,Louie Varland,303.6499938964844,MIN,Twins,17.82,52.82,0.0,0.6165,,135.81,575.985,132.67,67.0101,62.2058,18.5457,129.087,39.9193,5.3947
8779,Wade Miley,472.19000244140625,MIL,Brewers,25.92,25.92,0.0,0.0,,145.211,637.449,155.801,78.8566,72.8858,20.7329,107.91,49.1945,5.5962
14739,Paul Blackburn,565.0599975585938,OAK,Athletics,25.92,25.92,0.0,0.0,,146.759,634.769,151.095,77.4564,71.5805,19.3232,118.56,48.8544,5.7034
12317,Colin Rea,533.47998046875,MIL,Brewers,21.06,31.06,0.0,0.5886,,126.059,540.145,127.591,68.0173,63.3934,20.1554,110.023,37.119,5.0617
9323,Patrick Corbin,717.3499755859375,WSN,Nationals,29.16,29.16,0.0,0.0,,166.307,723.072,182.489,96.5489,89.9748,26.6645,119.808,53.3982,5.6631
21029,Jhoan Duran,52.290000915527344,MIN,Twins,0.0,66.0,27.624,2.3475,,66.0,268.949,48.7129,21.5161,19.2702,4.45867,91.0827,24.8406,2.9716
18383,Michael Soroka,536.1599731445312,CHW,White Sox,21.06,36.06,0.0,0.5883,,132.814,570.461,132.085,69.4815,64.3916,19.3171,114.243,44.5257,7.6367
23550,Aaron Ashby,413.67999267578125,MIL,Brewers,8.1,46.1,0.0,0.5886,,82.0951,347.883,70.2308,34.9151,31.741,7.90849,92.8234,36.2044,3.7067
29837,Bryce Miller,184.80999755859375,SEA,Mariners,25.92,25.92,0.0,0.0,,143.288,609.217,140.865,73.3127,68.5313,23.2285,130.067,38.2978,6.7836
14710,Edwin Díaz,43.31999969482422,NYM,Mets,0.0,64.0,34.548,1.3941,,64.0,259.74,43.9198,21.5307,19.7896,6.13689,95.3901,23.0208,3.2426
13619,Jakob Junis,689.5800170898438,,,21.06,21.06,0.0,0.0,,112.906,485.616,115.694,60.8245,56.6584,17.1617,99.5173,34.3739,4.9562
19350,Dean Kremer,332.7699890136719,BAL,Orioles,30.78,30.78,0.0,0.0,,175.918,755.985,177.099,93.7843,87.4925,27.5214,152.103,56.2506,7.0889
6902,Martín Pérez,610.8699951171875,PIT,Pirates,25.92,25.92,0.0,0.0,,151.222,674.197,167.085,86.7509,80.3459,19.3901,106.749,58.5007,6.4682
14843,Michael Lorenzen,535.3499755859375,,,27.54,27.54,0.0,0.0,,161.335,706.059,169.978,91.0149,84.7454,23.5907,128.299,59.0873,5.9909
13273,Ross Stripling,572.22998046875,SFG,Giants,25.92,25.92,0.0,0.0,,144.077,618.09,154.589,77.3463,71.8799,21.6916,113.913,34.8287,4.7389
12730,Nick Martinez,419.1600036621094,CIN,Reds,16.2,46.2,0.0,0.5804,,119.051,521.359,122.578,66.544,61.7854,17.8842,108.008,46.7029,4.8903
