"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Score","%D","ADP","% Rostered"
"*00ugc*","Carlos Hernandez","TB","SP","139","FA","41","","79.87","0%","690.1","3%"
"*02n15*","David Peterson","ATL","SP,RP","282","FA","32","","66.6","1%","848.7","3%"
"*04eg3*","Kevin Smith","OAK","3B,INF","298","FA","25","","65.53","14%","734.66","26%"
"*04j1w*","Reiver Sanmartin","CIN","SP","315","FA","25","","64.3","55%","437.85","64%"
"*05r01*","Robert Suarez","SD","RP","365","FA","31","","59.84","41%","406.58","42%"
"*04ef9*","Zac Lowther","BAL","SP","368","FA","25","","59.59","5%","883.04","16%"
"*03qyt*","Art Warren","CIN","RP","383","FA","28","","57.63","29%","492.03","28%"
"*04ppj*","Jeremy Pena","HOU","SS,INF","421","FA","24","","54.99","37%","446.62","56%"
"*041qa*","Mitch White","LAD","RP","434","FA","27","","53.82","25%","571.25","35%"
"*03xlc*","Cristian Pache","OAK","OF","471","FA","23","","50.88","27%","558.34","50%"
"*04ak3*","Hans Crouse","PHI","SP","484","FA","23","","49.9","7%","821.51","31%"
"*04efe*","Mike Baumann","BAL","RP","489","FA","26","","49.24","1%","1078.73","12%"
"*04eru*","Jake Cousins","MIL","RP","493","FA","27","","48.75","19%","717.04","26%"
"*04b3a*","Roansy Contreras","PIT","SP","498","FA","22","","48.65","74%","375.66","79%"
"*04pst*","Jarren Duran","BOS","OF","507","W (Sun)","25","","48.09","73%","342.15","83%"
"*04pqq*","Matt Vierling","PHI","OF","554","FA","25","","43.86","25%","576.36","26%"
"*03qzx*","Demarcus Evans","TEX","RP","563","FA","25","","42.85","5%","906.54","13%"
"*04mn4*","Joey Bart","SF","C","578","FA","25","","41.51","72%","308.03","86%"
"*039vx*","Jose Siri","HOU","OF","622","FA","26","","38.07","36%","468.19","41%"
"*041q7*","Ben Rortvedt","NYY","C","638","FA","24","","36.45","0%","-","4%"
"*04pmm*","Nick Sandlin","CLE","RP","641","FA","25","","35.98","0%","1439.1","12%"
"*04ppo*","Kyle Isbel","KC","OF","651","FA","25","","34.92","37%","448.45","44%"
"*03de6*","Wes Benjamin","CHW","RP","679","FA","28","","33.02","0%","-","3%"
"*04ee8*","Heliot Ramos","SF","OF","689","FA","22","","32.15","18%","709.19","47%"
"*03qs8*","Scott Effross","CHC","RP","697","FA","28","","31.34","3%","1037.9","4%"
"*0404q*","Alexander Wells","BAL","SP","702","FA","25","","31.09","0%","-","5%"
"*04eer*","Drew Waters","ATL","OF","706","FA","23","","30.89","15%","771.84","46%"
"*03yui*","Alex Lange","DET","RP","711","FA","26","","30.56","1%","1299.2","8%"
