"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Score","%D","ADP","% Rostered"
"*03zbh*","Fernando Tatis Jr.","SD","SS,OF","49","Pinstrip","23","","89.07","100%","2.45","97%"
"*03ynj*","Juan Soto","WSH","OF","20","Hit","23","","94.24","100%","2.69","97%"
"*02c68*","Trea Turner","LAD","2B,SS","28","Scavenge","28","","92.64","100%","3.35","97%"
"*03ojr*","Vladimir Guerrero Jr.","TOR","1B","10","lasmimis","22","","96.81","100%","4.77","97%"
"*01ub6*","Jose Ramirez","CLE","3B","2","La Maqui","29","","100","100%","5","97%"
"*041qb*","Bo Bichette","TOR","SS","44","La Maqui","23","","90.02","100%","7.88","97%"
"*01spo*","Gerrit Cole","NYY","SP","1","La Maqui","31","","100","100%","8.06","97%"
"*02yc4*","Shohei Ohtani","LAA","UT,SP","113","miche","27","","81.85","100%","8.55","97%"
"*041rd*","Corbin Burnes","MIL","SP","5","miche","27","","98.46","100%","9.26","97%"
"*01fh9*","Bryce Harper","PHI","OF","30","Canha Ge","29","","92.41","100%","9.97","97%"
"*03wha*","Ronald Acuna Jr.","ATL","OF","141","METS","24","","78.44","100%","11.29","97%"
"*03aac*","Walker Buehler","LAD","SP","4","La Maqui","27","","99.19","100%","12.58","97%"
"*01s8u*","Mike Trout","LAA","OF","75","miche","30","","85.98","100%","13.56","97%"
"*03pir*","Kyle Tucker","HOU","OF","61","miche","24","","87.59","100%","15.4","97%"
"*02btf*","Mookie Betts","LAD","OF","25","sfernand","29","","93.09","100%","15.44","97%"
"*02bu3*","Brandon Woodruff","MIL","SP","3","Canha Ge","28","","99.28","100%","17.29","97%"
"*004ee*","Max Scherzer","NYM","SP","9","SLG","37","","97.31","100%","17.51","95%"
"*030uc*","Rafael Devers","BOS","3B","63","sfernand","25","","87.31","100%","19.64","97%"
"*01sb3*","Zack Wheeler","PHI","SP","8","SLG","31","","97.78","100%","19.77","97%"
"*01cgo*","Freddie Freeman","(N/A)","1B","29","lasmimis","32","","92.55","100%","20.6","98%"
"*02hjp*","Jacob deGrom","NYM","SP","43","99 prob","33","","90.12","100%","21.22","97%"
"*03fi0*","Ozzie Albies","ATL","2B","60","METS","25","","87.83","100%","21.62","97%"
"*047l7*","Luis Robert","CHW","OF","168","Canha Ge","24","","75.37","100%","23.46","97%"
"*041rf*","Shane Bieber","CLE","SP","17","99 prob","26","","95.72","100%","24.28","97%"
"*02vl6*","Julio Urias","LAD","SP","7","99 prob","25","","97.9","100%","29.64","97%"
"*01svq*","Manny Machado","SD","3B","38","Canha Ge","29","","90.88","100%","29.95","97%"
"*04355*","Yordan Alvarez","HOU","OF","86","CALIXTO","24","","84.11","100%","30.08","97%"
"*02bu9*","Marcus Semien","TEX","2B,SS","68","Hit","31","","86.85","100%","30.22","97%"
"*03btv*","Sandy Alcantara","MIA","SP","14","METS","26","","96.14","100%","30.87","97%"
"*03qr0*","Cedric Mullins","BAL","OF","67","CALIXTO","27","","87.15","100%","30.99","97%"
"*025j1*","Robbie Ray","SEA","SP","13","Pinstrip","30","","96.26","100%","31.72","97%"
"*02i3o*","Aaron Nola","PHI","SP","6","CALIXTO","28","","98.33","100%","33.62","97%"
"*02z0s*","Aaron Judge","NYY","OF","111","miche","29","","82.07","100%","35.24","97%"
"*02i37*","Lucas Giolito","CHW","SP","15","miche","27","","96.11","100%","35.44","97%"
"*02mwm*","Matt Olson","OAK","1B","53","Canha Ge","27","","88.73","100%","38.23","97%"
"*01s9k*","Starling Marte","NYM","OF","159","99 prob","33","","75.95","100%","39.87","97%"
"*02hjk*","Whit Merrifield","KC","2B,OF","102","Scavenge","32","","82.83","100%","40.17","97%"
"*02xic*","Teoscar Hernandez","TOR","OF","145","Pinstrip","29","","77.83","100%","41.4","97%"
"*03dc4*","Freddy Peralta","MIL","SP","35","miche","25","","91.09","100%","42.79","97%"
"*01u75*","Salvador Perez","KC","C","152","sfernand","31","","76.7","100%","43.67","97%"
"*025gb*","Xander Bogaerts","BOS","SS","47","Hit","29","","89.17","100%","45.82","97%"
"*04csx*","Wander Franco","TB","SS","83","Scavenge","20","","84.98","100%","47.81","97%"
"*02hi7*","Kevin Gausman","TOR","SP","11","99 prob","31","","96.8","100%","48.69","97%"
"*01uca*","Chris Sale","BOS","SP","40","Scavenge","32","","90.64","100%","49.37","95%"
"*03d6w*","Jack Flaherty","STL","SP","99","miche","26","","83.09","100%","49.91","97%"
"*02bqh*","Trevor Story","(N/A)","SS","92","lasmimis","29","","83.67","100%","50.33","98%"
"*01ual*","Paul Goldschmidt","STL","1B","50","CALIXTO","34","","89.03","100%","52.35","97%"
"*01s94*","Lance Lynn","CHW","SP","45","Pinstrip","34","","89.8","100%","54.51","97%"
"*03nuc*","Luis Castillo","CIN","SP","18","Scavenge","29","","95.61","100%","54.55","97%"
"*03pom*","Austin Riley","ATL","3B","129","Pinstrip","24","","79.38","100%","54.96","97%"
"*030ud*","Eloy Jimenez","CHW","OF","164","99 prob","25","","75.72","100%","57.56","97%"
"*024m0*","Jose Altuve","HOU","2B","81","CALIXTO","31","","85.35","100%","58.23","97%"
"*025he*","George Springer","TOR","OF","185","sfernand","32","","73.13","100%","58.45","97%"
"*041pz*","Pete Alonso","NYM","1B","89","SLG","27","","83.95","100%","58.88","97%"
"*03110*","Tim Anderson","CHW","SS","161","METS","28","","75.91","100%","59.08","97%"
"*01uc9*","Nick Castellanos","(N/A)","OF","119","La Maqui","29","","80.82","100%","59.45","98%"
"*02mwk*","Jose Berrios","TOR","SP","12","sfernand","27","","96.8","100%","59.77","97%"
"*03dbm*","Logan Webb","SF","SP","26","SLG","25","","93.01","100%","60.78","97%"
"*01ub8*","Liam Hendriks","CHW","RP","109","CALIXTO","32","","82.27","100%","61","96%"
"*02611*","Francisco Lindor","NYM","SS","128","Pinstrip","28","","79.7","100%","61.65","97%"
"*03qjy*","Brandon Lowe","TB","2B","123","Scavenge","27","","80.05","100%","62.21","97%"
"*02w7p*","Alex Bregman","HOU","3B","84","Canha Ge","27","","84.96","100%","63.09","97%"
"*02n96*","Josh Hader","MIL","RP","135","miche","27","","78.57","100%","64.23","97%"
"*02i2k*","Byron Buxton","MIN","OF","289","miche","28","","63.76","100%","64.51","97%"
"*02i2j*","Max Fried","ATL","SP","21","CALIXTO","27","","94.23","100%","68.36","97%"
"*02yk4*","Tyler O'Neill","STL","OF","160","Canha Ge","26","","75.94","100%","68.58","96%"
"*02mw6*","Corey Seager","TEX","SS","72","CALIXTO","27","","86.06","100%","69.73","96%"
"*02bqy*","Joe Musgrove","SD","SP","22","Hit","29","","94.23","100%","69.87","97%"
"*02yg3*","Frankie Montas","OAK","SP","16","CALIXTO","28","","95.9","100%","70.77","97%"
"*040b5*","Randy Arozarena","TB","OF","205","Scavenge","26","","71.53","100%","71.92","97%"
"*01sy3*","Nolan Arenado","STL","3B","90","Canha Ge","30","","83.9","100%","72","97%"
"*02i2e*","Jose Abreu","CHW","1B","93","CALIXTO","34","","83.64","100%","74.67","97%"
"*03df2*","Dylan Cease","CHW","SP","36","lasmimis","26","","91.03","100%","75.36","97%"
"*02i3g*","Adalberto Mondesi","KC","3B","366","99 prob","26","","56.03","100%","76.18","94%"
"*04ak5*","Trevor Rogers","MIA","SP","80","CALIXTO","24","","85.46","100%","76.67","97%"
"*005jn*","Charlie Morton","ATL","SP","32","Canha Ge","38","","91.5","100%","76.91","96%"
"*04yfw*","Alek Manoah","TOR","SP","48","CALIXTO","24","","89.11","100%","78.15","97%"
"*025i9*","J.T. Realmuto","PHI","C","133","CALIXTO","30","","79.06","100%","79.42","97%"
"*02i2q*","Carlos Correa","(N/A)","SS","103","miche","27","","82.79","100%","80.04","98%"
"*026mn*","Javier Baez","DET","2B,SS","173","Hit","29","","74.93","100%","86.35","97%"
"*042sz*","Will Smith","LAD","C","130","Pinstrip","26","","79.24","100%","86.77","97%"
"*01c5l*","Yu Darvish","SD","SP","23","La Maqui","35","","93.66","100%","88.04","97%"
"*03e5m*","Bryan Reynolds","PIT","OF","110","Canha Ge","26","","82.2","100%","88.29","97%"
"*02yd1*","Jorge Polanco","MIN","2B,SS","120","sfernand","28","","80.73","100%","89.77","96%"
"*02mwj*","Mitch Haniger","SEA","OF","98","Hit","31","","83.13","100%","90.29","97%"
"*02334*","J.D. Martinez","BOS","OF","134","CALIXTO","34","","78.91","100%","91.45","97%"
"*0326s*","Ketel Marte","ARI","2B,OF","85","CALIXTO","28","","84.25","100%","91.63","97%"
"*04nx3*","Jonathan India","CIN","2B","149","lasmimis","25","","77.66","100%","92.32","96%"
"*04mlt*","Shane McClanahan","TB","SP","58","sfernand","24","","87.89","100%","92.64","96%"
"*01cdf*","Giancarlo Stanton","NYY","OF","208","99 prob","32","","71.3","100%","92.65","94%"
"*02mwg*","Jesse Winker","CIN","OF","271","METS","28","","65.37","100%","95.09","97%"
"*01ubo*","Kris Bryant","(N/A)","3B,OF","227","METS","30","","70.61","100%","95.38","98%"
