playerid,Player,Team,Position,Status,Salary,ADP,Age,%D,POINTS_steamer,POINTS_fangraphsdc,POINTS_zipsdc,POINTS_atc,POINTS_thebat,POINTS_zips,MEAN,STD,Rank,Rank_round,ADP_round,Keper_Value,Draft_Value
19755,Shohei Ohtani,LAA,"UT,SP",TDRJ,5,13.27,28,100%,128.20022260494196,126.25423155709733,123.76833213688894,130.79493152173683,133.01622141233725,135.14107819430367,129.52916957121764,3.8930230162897748,1,1.0,2.0,4.0,1.0
20123,Juan Soto,SD,OF,Tomy,8,6.19,24,100%,88.10469257458377,85.315826478082,79.71819763163614,86.02833534636663,83.614325692301,83.52889601860537,84.38504562359583,2.5983648412900817,2,1.0,1.0,7.0,0.0
15640,Aaron Judge,NYY,OF,TDRJ,4,2.18,30,100%,81.49038820996697,83.13785839632868,81.71085714312143,82.11429303498137,82.85167411588878,84.7589081375648,82.677329839642,1.0981318255219437,3,1.0,1.0,3.0,0.0
5361,Freddie Freeman,LAD,"1B,INF",Freeman,1,12.92,33,100%,75.13934148606103,76.87413914784307,76.36380241633933,81.00647102615481,77.3963568308045,80.24022500165418,77.83672265147617,2.0972194502159067,4,1.0,1.0,0.0,0.0
19556,Yordan Alvarez,HOU,OF,Champs,12,11.46,25,100%,71.82981178795536,75.59264390383645,77.02081853837227,74.97867368652116,72.95822986725034,82.433470173852,75.80227465963127,3.4168435433119164,5,1.0,1.0,11.0,0.0
19611,Vladimir Guerrero Jr.,TOR,"1B,INF",Freeman,8,13.73,23,100%,80.37008776406157,74.23198692162859,68.64557265663585,76.19685541122246,78.22741928342928,75.52955188398772,75.53357898682758,3.656667828263008,6,1.0,2.0,7.0,1.0
13510,Jose Ramirez,CLE,"3B,INF",Champs,1,2.8,30,100%,70.03275337707491,72.26945713718887,71.44727081141183,75.06024734119332,73.00493342957438,76.8026276243986,73.10288162014031,2.250567552775779,7,1.0,1.0,0.0,0.0
18401,Ronald Acuna Jr.,ATL,OF,METS,4,4.95,25,100%,75.9722440897899,73.26482985912055,71.44540985484643,72.46797812261956,69.31677592607006,73.14924524039331,72.60274718213998,2.010212364144788,8,1.0,1.0,3.0,0.0
10954,Jacob deGrom,TEX,SP,DN,1,25.38,34,100%,77.13997249125657,76.41571136945961,75.8088879757051,71.78919167624709,72.46514001933852,61.09731077523828,72.45270238454087,5.4516854082872905,9,1.0,3.0,0.0,2.0
16252,Trea Turner,PHI,"SS,INF",Freeman,1,5.01,29,100%,65.80283220323813,70.73957107313707,73.07354238519889,72.47377823506974,70.38638081924488,78.11744315034694,71.76559131103927,3.6757702550441826,10,1.0,1.0,0.0,0.0
18345,Kyle Tucker,HOU,OF,TDRJ,9,10.07,26,100%,72.68372294877437,74.32854293878968,70.68665637169782,71.98393853824047,65.37974599952736,74.11143778524406,71.52900743037897,3.0157820238683475,11,1.0,1.0,8.0,0.0
13125,Gerrit Cole,NYY,SP,La Maqui,1,9.61,32,100%,71.04999009565924,70.61563501130898,69.71356497758772,73.78812969684785,68.6803957126856,73.22478242756112,71.17874965360842,1.8127938840020106,12,1.0,1.0,0.0,0.0
13611,Mookie Betts,LAD,OF,sfernand,1,11.86,30,100%,71.22633926377911,70.00372136332422,69.1330512753638,70.08010379811371,69.83825697036205,72.50160426937123,70.46384615671903,1.099636586453804,13,2.0,1.0,-1.0,-1.0
10155,Mike Trout,LAA,OF,TDRJ,1,19.11,31,100%,68.6564273482545,72.7765333826908,75.12552852337508,70.05855343179879,69.26566601562534,63.1722601706073,69.84249481205863,3.714772907306137,14,2.0,2.0,-1.0,0.0
17350,Rafael Devers,BOS,"3B,INF",sfernand,4,21.56,26,100%,66.99783695124944,70.14525208717505,70.84102124824729,65.55631308292624,65.58367387029654,75.74545462421403,69.14492531068476,3.5966424220849516,15,2.0,2.0,2.0,0.0
19361,Corbin Burnes,MIL,SP,TDRJ,12,9.21,28,100%,67.36227975698097,67.61747165780783,67.37144064636776,72.44710664863707,66.33991930167272,71.54177688103508,68.77999914875024,2.322876048279157,16,2.0,1.0,10.0,-1.0
