playerid,Player,Team,Position,Status,Salary,ADP,Age,%D,POINTS_steamer,POINTS_fangraphsdc,POINTS_zipsdc,POINTS_atc,POINTS_thebat,POINTS_zips,MEAN,STD,Rank,Rank_round,ADP_round,Keper_Value,Draft_Value
19755,Shohei Ohtani,LAA,"UT,SP",uu,5,11.73,28,100%,128.1481759605133,126.0287656692945,123.53075633520933,130.79493152173683,133.01582040010777,135.14107819430367,129.44325468019423,3.9864154675634973,1,1.0,1.0,4.0,0.0
20123,Juan Soto,SD,OF,Tomy,8,6.14,24,100%,88.08177696504444,85.25430518664238,79.64220497679541,86.02833534636663,83.61437453631153,83.52889601860537,84.35831550496096,2.612119585960495,2,1.0,1.0,7.0,0.0
15640,Aaron Judge,NYY,OF,uu,4,2.07,30,100%,81.48485981351011,83.02775712177389,81.5868387264856,82.11429303498137,82.85156919901462,84.7589081375648,82.63737100555507,1.1109089873289288,3,1.0,1.0,3.0,0.0
5361,Freddie Freeman,LAD,"1B,INF",Freeman,1,13.7,33,100%,75.10699053778094,76.78266986578673,76.25378587353539,81.00647102615481,77.39621137469372,80.24022500165418,77.79772561326763,2.12435117183434,4,1.0,2.0,0.0,1.0
19556,Yordan Alvarez,HOU,OF,Champs,12,10.06,25,100%,71.82134421354122,75.46155251923743,76.89486535507359,74.97867368652116,72.95830997167025,82.433470173852,75.75803598664928,3.4128462832193174,5,1.0,1.0,11.0,0.0
19611,Vladimir Guerrero Jr.,TOR,"1B,INF",Freeman,8,13.15,23,100%,80.37003099658295,74.09597133398674,68.47486456543584,76.19685541122246,78.35223012221705,75.52955188398772,75.50325071890546,3.734136676700383,6,1.0,2.0,7.0,1.0
13510,Jose Ramirez,CLE,"3B,INF",Champs,1,2.7,30,100%,70.01415374602226,72.09092150805672,71.24831325562897,75.06024734119332,73.0045612448422,76.8026276243986,73.03680412002369,2.291527784015706,7,1.0,1.0,0.0,0.0
18401,Ronald Acuna Jr.,ATL,OF,Edgar,4,4.01,25,100%,75.93023580490137,73.10789824341133,71.27413279066072,72.46797812261956,69.31653323505031,73.14924524039331,72.54100390617278,2.007723664207728,8,1.0,1.0,3.0,0.0
10954,Jacob deGrom,TEX,SP,DN,1,28.22,34,100%,77.13696081488924,76.41300882681728,75.8064551080334,71.78919167624709,72.46579485148521,61.09731077523828,72.45145367545175,5.4506771537587255,9,1.0,3.0,0.0,2.0
16252,Trea Turner,PHI,"SS,INF",FA,30,4.82,29,100%,65.75290842848072,70.60017342266649,72.93588970205047,72.47377823506974,70.38597209098558,78.11744315034694,71.71102750493333,3.688115803301198,10,1.0,1.0,29.0,0.0
18345,Kyle Tucker,HOU,OF,uu,9,9.17,26,100%,72.66476247428427,74.15506167565725,70.47074896401494,71.98393853824047,65.37935297423265,74.11143778524406,71.46088373527893,2.999231155761872,11,1.0,1.0,8.0,0.0
13125,Gerrit Cole,NYY,SP,La Maqui,1,10.95,32,100%,71.03375586292331,70.60294560516404,69.7002416005488,73.78812969684785,68.67977547261533,73.22478242756112,71.17160511094342,1.8155917114896662,12,1.0,1.0,0.0,0.0
13611,Mookie Betts,LAD,OF,sfernand,1,11.59,30,100%,71.18947031830122,69.83003130850142,68.9322478648936,70.08010379811371,69.96293249106364,72.50160426937123,70.41606500837413,1.1409774762822704,13,2.0,1.0,-1.0,-1.0
10155,Mike Trout,LAA,OF,uu,1,17.48,31,100%,68.6408963900706,72.62734698931816,74.97857539350434,70.05855343179879,69.26561209280761,63.1722601706073,69.79054074468446,3.6613721010996785,14,2.0,2.0,-1.0,0.0
17350,Rafael Devers,BOS,"3B,INF",sfernand,4,20.4,26,100%,66.97637334100756,69.99942742377118,70.68252592582634,65.55631308292624,65.58334195501826,75.74545462421403,69.0905727254606,3.5802533168375668,15,2.0,2.0,2.0,0.0
19361,Corbin Burnes,MIL,SP,uu,12,10.19,28,100%,67.33466920447418,67.59882689660708,67.35565556251525,72.44710664863707,66.33934941833863,71.54177688103508,68.76956410193453,2.3289522899192017,16,2.0,1.0,10.0,-1.0
16149,Aaron Nola,PHI,SP,Champs,3,23.28,29,100%,65.35326282365554,65.68005967422177,66.53219870749211,70.37404548263592,70.63368401770035,71.62940871419153,68.3671099033162,2.56509111003847,17,2.0,2.0,1.0,0.0
3137,Max Scherzer,NYM,SP,FA,1,38.4,38,100%,69.7151379028715,68.19415419566711,67.36187458926285,69.9207854036311,67.29971517701479,64.62607914378164,67.8529577353715,1.7710649666231215,18,2.0,4.0,-1.0,2.0
9218,Paul Goldschmidt,STL,"1B,INF",DN,2,24.84,35,100%,66.11825322240482,67.09029166797006,65.15547935076651,70.52041452440119,67.11103334127802,68.06478010042645,67.3433753678745,1.684233258772355,19,2.0,2.0,0.0,0.0
19251,Pete Alonso,NYM,"1B,INF",Pete,12,19.3,28,100%,66.36035037365119,67.11447762394707,64.57289487184009,68.59406542911476,66.36928821335056,70.15883720458218,67.19498561941431,1.779610170726187,20,2.0,2.0,10.0,0.0
8700,Justin Verlander,NYM,SP,FA,30,35.86,40,100%,66.21907997351944,65.61775577779187,66.86208063048092,66.14511029048172,66.67357451931355,70.52380433984163,67.00690092190486,1.622434293949692,21,2.0,3.0,28.0,1.0
16137,Carlos Rodon,NYY,SP,Freeman,20,33.34,30,100%,67.73854268768346,66.16484730693686,65.04887640447038,66.98796502824567,66.59682510294012,69.46375012952777,67.0001344433007,1.3712869890335517,22,2.0,3.0,18.0,1.0
23697,Julio Rodriguez,SEA,OF,uu,30,5.85,22,100%,65.78025431290412,65.16412348206099,64.32350068182947,68.23978582293026,66.64371476539941,68.02310037887895,66.36241324066721,1.4314044336951426,23,2.0,1.0,28.0,-1.0
17678,Alex Bregman,HOU,"3B,INF",FA,2,55.99,28,100%,65.25038233546081,68.16714741550842,69.54126051788717,62.32876582306665,60.277923078558956,70.5052971551145,66.01179605426609,3.7486880565151854,24,2.0,5.0,0.0,3.0
19709,Fernando Tatis Jr.,SD,"SS,INF,OF",Pinstrip,12,25.23,24,100%,71.65280554964353,68.60247481060587,64.29351992577303,63.88501066046522,65.06059312891342,61.2963564964776,65.7984600953131,3.3881011729921373,25,3.0,3.0,9.0,0.0
5417,Jose Altuve,HOU,"2B,INF",FA,1,35.24,32,100%,66.2641912953587,64.75335113403116,64.29589960215041,65.35529843473684,64.66540634926181,67.47210939514794,65.46770936844781,1.0948192464978503,26,3.0,3.0,-2.0,0.0
18360,Austin Riley,ATL,"3B,INF",Pinstrip,13,20.94,25,100%,63.45623839007206,65.06159988692465,64.53705307288664,62.24954376922413,63.76368507901897,68.47155459996668,64.58994579968218,1.9466904834570906,27,3.0,2.0,10.0,-1.0
11493,Manny Machado,SD,"3B,INF",FA,1,14.26,30,100%,63.934956783137366,64.00144587275264,61.51201546057468,66.85766703785316,65.22691471072547,65.66480804120795,64.53296798437522,1.6799373483114923,28,3.0,2.0,-2.0,-1.0
14710,Edwin Diaz,NYM,RP,FA,3,61.24,28,100%,62.153697055522954,63.48622247800725,64.55246752731102,65.79808703028311,64.40100471614798,65.59118792041663,64.33044445461482,1.2415488845949447,29,3.0,6.0,0.0,3.0
19612,Bo Bichette,TOR,"SS,INF",La Maqui,10,22.37,25,100%,63.450337539514976,62.39161438610677,60.10061266209262,65.07531038052417,64.42089301446411,68.62308356404665,64.01030859112488,2.607679750800754,30,3.0,2.0,7.0,-1.0
14344,Matt Olson,ATL,"1B,INF",whitesky,3,35.03,28,100%,59.97370346512346,63.170367758617836,64.03562424951528,62.12573306377355,61.8896651223013,69.6440046216749,63.4731830468344,3.0292073751711523,31,3.0,3.0,0.0,0.0
19427,Shane Bieber,CLE,SP,DN,6,41.84,27,100%,61.07789293074944,62.80512302390868,64.77100295402165,64.972664481035,58.231962240318325,67.05101386255558,63.15160991543144,2.8800264244444267,32,3.0,4.0,3.0,1.0
21483,Shane McClanahan,TB,SP,sfernand,19,32.91,25,100%,63.99088069028453,62.82609353942988,61.0199300617076,63.79105832681674,59.97120223260175,64.0603284315939,62.609915547072404,1.578155846365741,33,3.0,3.0,16.0,0.0
9777,Nolan Arenado,STL,"3B,INF",Patron#5,3,34.66,31,100%,62.15362750685197,63.11201843032659,60.82402508553769,61.31987293415374,62.88929921082571,62.439288941889494,62.12302201826421,0.8163636428663072,34,3.0,3.0,0.0,0.0
21032,Emmanuel Clase,CLE,RP,Champs,20,66.56,24,100%,58.77270487378349,59.830614716083794,60.990749896092126,63.166676448878164,62.13238409915384,64.05194110146743,61.490845189243146,1.8336640075759565,35,3.0,6.0,17.0,3.0
16162,Brandon Woodruff,MIL,SP,whitesky,10,32.15,30,100%,57.96618198786403,59.92370550775997,61.08015897089953,63.77828998755071,58.82218239447402,66.38070701809285,61.32520431110685,2.919706970286707,36,3.0,3.0,7.0,0.0
18684,Sandy Alcantara,MIA,SP,Edgar,19,19.89,27,100%,56.26579245373583,58.02482146484599,60.05457704688231,62.34916408560156,63.691109717197804,67.02969184082644,61.23585943484832,3.5880346027825194,37,4.0,2.0,15.0,-2.0
14107,Kevin Gausman,TOR,SP,sfernand,20,52.38,32,100%,62.64610720809544,59.09227559690925,56.66823007616659,65.99155491727775,61.28186637531822,60.59748112553399,61.04625254988354,2.894177108480958,38,4.0,5.0,16.0,1.0
13624,Corey Seager,TEX,"SS,INF",Champs,4,50.45,28,100%,61.200938625309774,58.86263319231733,56.50092952352801,64.00242946039538,62.333304640467645,61.271504254333976,60.69528994939202,2.420718128758553,39,4.0,5.0,0.0,1.0
