playerid,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,K,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1.1,WAR,-1.2,ADP,-1.3,InterSD,InterSK,IntraSD,playerid,NSB,K%,BB%,SF,SH,TB,wAVG,wOBP,wSLG,wOPS,rR,rRBI,rH,rHR,rK%,rBB%,rNSB,rwAVG,rwOBP,rwSLG,rwOPS,POINTS
20123,Juan Soto,WSN,153,663,521,163,30,3,36,113,106,135,101,4,11,5,,0.312,0.454,0.587,1.041,0.437,174,,7.6,,4.4,,2.61,0.43,0.98,20123,6,0.19385796545105566,0.20361990950226244,0,0,307,0.5816867423521666,1.443423241088715,0.015227648538684357,1.4586508896273993,10.0,9.655172413793103,8.682170542635658,8.25,6.674878280517042,10.0,1.9444444444444444,10.0,10.0,9.64119530875162,10.0,94.84786099014187
19709,Fernando Tatis Jr.,SDP,141,610,536,153,30,2,43,109,105,65,161,6,27,7,,0.286,0.367,0.593,0.96,0.4,154,,6.6,,1.8,,5.72,-0.9,0.58,19709,20,0.3003731343283582,0.10655737704918032,0,0,316,0.31264568784675206,0.41272654884731974,0.01565180425493551,0.42837835310225525,9.545454545454545,9.540229885057471,7.906976744186046,10.0,3.6191869601932307,4.14457088085286,5.833333333333333,7.392996988756462,4.748511713719104,9.807418016152376,4.806604990078829,77.34528405778426
10155,Mike Trout,LAA,134,578,468,132,25,3,36,96,94,96,137,10,7,2,,0.281,0.41,0.579,0.99,0.412,164,,6.2,,14.2,,2.93,-1.01,0.69,10155,5,0.29273504273504275,0.16608996539792387,0,0,271,0.24547851487748407,0.8391243428491846,0.012886212072337255,0.8520105549215218,8.068181818181818,8.275862068965518,6.27906976744186,8.25,3.8383073956348532,7.73595514155029,1.6666666666666667,6.7421482827495005,6.92104514411879,8.723607984730684,6.942049044901893,73.44289331494187
13510,José Ramírez,CLE,148,635,552,150,35,4,35,101,100,72,91,6,25,6,,0.271,0.358,0.538,0.897,0.377,141,,5.9,,3.7,,2.81,0.41,0.8,13510,19,0.16485507246376813,0.11338582677165354,0,0,298,0.17514318995464628,0.3389778358195483,0.010782172437991011,0.34976000825753933,8.636363636363637,8.96551724137931,7.674418604651163,8.0,7.5069089602751795,4.55650638606883,5.555555555555555,6.060600240917319,4.372755678496545,7.899054286408148,4.410305850453218,73.63798644056891
13611,Mookie Betts,LAD,147,658,566,159,34,3,31,112,87,79,100,8,14,5,,0.28,0.373,0.514,0.887,0.376,138,,5.8,,15.8,,3.46,-0.68,0.65,13611,9,0.17667844522968199,0.12006079027355623,0,0,292,0.2789685645665396,0.5162519530340692,0.008419880222974241,0.5246718332570435,9.886363636363637,7.471264367816092,8.372093023255815,7.0,7.167721801126294,4.959182626534512,2.7777777777777777,7.066666265875034,5.275982551174631,6.973293787121814,5.292000903873155,72.24234674091876
19611,Vladimir Guerrero Jr.,TOR,152,652,570,175,32,2,41,108,109,74,101,6,3,2,,0.306,0.39,0.585,0.975,0.409,159,,5.6,,5.9,,4.4,0.15,1.43,19611,1,0.17719298245614035,0.11349693251533742,0,0,334,0.5664451700208795,0.7042845550831178,0.01614322176685834,0.7204277768499762,9.431818181818182,10.0,9.612403100775193,9.5,7.152960833712504,4.563208990981653,0.5555555555555556,9.85230943642859,6.234024829308021,10.0,6.278766933808123,83.18104786238783
16252,Trea Turner,LAD,147,651,595,180,34,5,26,109,85,47,111,5,32,7,,0.303,0.357,0.506,0.863,0.367,132,,5.6,,1.6,,3.85,0.54,1.45,16252,25,0.1865546218487395,0.07219662058371736,0,0,302,0.5373236464416231,0.31673229452394147,0.00785392048165151,0.324586215005593,9.545454545454545,7.241379310344827,10.0,5.75,6.88439551538757,2.071711571715738,7.222222222222222,9.570122393255247,4.259412732491925,6.751499392096398,4.283409861653603,73.57960754462208
18401,Ronald Acuña Jr.,ATL,131,583,495,139,26,2,36,105,87,74,146,10,22,7,,0.281,0.383,0.562,0.945,0.398,147,,5.5,,9.1,,3.45,0.14,0.6,18401,15,0.29494949494949496,0.1269296740994854,0,0,277,0.24628255250382924,0.5505286236240692,0.011680424900010145,0.5622090485240794,9.090909090909092,7.471264367816092,6.821705426356589,8.25,3.7747795199125864,5.373557373966804,4.444444444444445,6.749939392983173,5.450625135604247,8.251071129387123,5.481218396859684,71.15951427823984
15640,Aaron Judge,NYY,145,627,543,150,25,1,39,98,97,77,166,5,5,2,,0.276,0.369,0.538,0.907,0.382,142,,5.4,,35.2,,2.11,-1.17,0.95,15640,3,0.30570902394106814,0.12280701754385964,0,0,294,0.21980403449476937,0.4531639462950987,0.01079059006107047,0.4639545363561692,8.295454545454545,8.620689655172415,7.674418604651163,9.0,3.466111752712261,5.1248525170672306,1.1111111111111112,6.493363026562872,4.954543731308001,7.902353075141949,4.9859373182083075,67.62883533738986
11579,Bryce Harper,PHI,150,646,528,146,32,2,37,103,101,106,145,6,14,4,,0.277,0.4,0.556,0.957,0.4,150,,5.2,,9.9,,3.37,0.9,0.46,11579,10,0.2746212121212121,0.16408668730650156,0,0,293,0.21713423112407204,0.790020777304834,0.011901899258108861,0.8019226765629428,8.863636363636363,9.080459770114942,7.364341085271318,8.5,4.357954273801636,7.6151046694493925,3.0555555555555554,6.4674926796017695,6.670858254792488,8.337864884634346,6.689566203417713,77.00283374027552
14162,Carlos Correa,,140,615,540,148,30,1,25,86,87,65,120,5,1,0,,0.274,0.355,0.474,0.829,0.354,128,,5.0,,101.3,,1.96,-0.85,0.84,14162,1,0.2222222222222222,0.10569105691056911,0,0,255,0.19609004025336607,0.2809318294988372,0.003517058930840089,0.2844488884296773,6.931818181818182,7.471264367816092,7.51937984496124,5.5,5.861168701528067,4.092308941689263,0.5555555555555556,6.263574846057855,4.077006284370025,5.051923408611906,4.081085734627968,57.40508586703615
17350,Rafael Devers,BOS,150,649,585,164,38,2,38,101,106,55,137,6,5,3,,0.281,0.348,0.548,0.896,0.376,136,,4.8,,14.3,,2.49,-0.36,1.03,17350,2,0.2341880341880342,0.0847457627118644,0,0,320,0.2808213658114955,0.20832399982328442,0.012155980699252944,0.22047998052253737,8.636363636363637,9.655172413793103,8.75968992248062,8.75,5.517895267800733,2.828755617243679,0.8333333333333334,7.0846198768349495,3.707063147942319,8.437437054545285,3.7586314370150955,67.96896170735276
19612,Bo Bichette,TOR,150,648,599,175,36,2,27,104,91,41,127,5,21,5,,0.292,0.341,0.497,0.837,0.356,123,,4.8,,5.3,,2.47,0.4,0.71,19612,16,0.21202003338898165,0.06327160493827161,0,0,296,0.4219098125300913,0.14553808294454074,0.006366898297880952,0.1519049812424217,8.977272727272727,7.931034482758621,9.612403100775193,6.0,6.153847577172048,1.5332978792392096,4.722222222222222,8.4517644047332,3.387163501893095,6.168749133450892,3.4129587664925336,66.35071379600973
12533,Marcus Semien,TEX,150,666,594,154,32,2,30,95,83,66,126,3,12,4,,0.259,0.335,0.473,0.808,0.346,121,,4.7,,39.2,,2.86,-0.51,0.54,12533,8,0.21212121212121213,0.0990990990990991,0,0,280,0.045231221585173564,0.07853127967543672,0.0037332327070860316,0.08226451238252275,7.954545454545454,7.011494252873563,7.984496124031008,6.75,6.150944976752438,3.6946401322531517,2.5,4.8017555885337,3.045758076691231,5.136639914790899,3.0619152797997837,58.09218980027123
18345,Kyle Tucker,HOU,149,613,550,154,34,4,32,89,95,55,111,4,17,4,,0.28,0.346,0.53,0.877,0.369,138,,4.7,,12.7,,2.12,1.02,0.24,18345,13,0.2018181818181818,0.08972267536704731,0,0,292,0.2621763499594809,0.20626143001634678,0.009798593708767622,0.2160600237251144,7.2727272727272725,8.39080459770115,7.984496124031008,7.25,6.446516777481298,3.128994633763225,3.888888888888889,6.9039500063564745,3.696554177396178,7.51359886744475,3.736351330769399,66.21288267655964
5361,Freddie Freeman,,146,665,571,169,34,2,31,104,95,85,108,7,6,3,,0.295,0.391,0.525,0.916,0.387,140,,4.6,,20.4,,2.51,0.05,0.95,5361,3,0.18914185639229422,0.12781954887218044,0,0,300,0.4462180104720659,0.7323534151525035,0.009526988138438108,0.7418804032909416,8.977272727272727,8.39080459770115,9.147286821705427,7.0,6.810173315660423,5.427240278427921,1.1111111111111112,8.68731040848021,6.377038085267044,7.407159153171122,6.386905275031873,75.72230177382902
17678,Alex Bregman,HOU,141,611,520,140,31,1,24,85,84,78,79,7,2,1,,0.268,0.368,0.474,0.842,0.362,133,,4.6,,87.5,,2.89,-1.1,0.67,17678,1,0.1519230769230769,0.1276595744680851,0,0,245,0.14071906966566794,0.4242265913984966,0.0032921963376784658,0.4275187877361751,6.818181818181818,7.126436781609195,6.89922480620155,5.25,7.877900124676149,5.4175896051930055,0.5555555555555556,5.7270311303674255,4.807105419514264,4.9638018353396305,4.802272095311044,60.245099171949654
12161,Xander Bogaerts,BOS,149,640,567,162,36,1,26,94,89,64,117,4,7,2,,0.286,0.36,0.493,0.853,0.363,127,,4.6,,45.5,,3.41,0.83,0.7,12161,5,0.20634920634920634,0.1,0,0,278,0.33166165847072215,0.3448615138005928,0.0056435432913061745,0.350505057091899,7.840909090909091,7.7011494252873565,8.604651162790697,5.75,6.316531419737794,3.748988202876087,1.6666666666666667,7.577261404347396,4.402733523802822,5.885272987785661,4.414061490598264,63.90822537480183
19197,Will Smith,LAD,128,514,434,114,22,1,29,75,83,61,107,11,2,1,,0.263,0.364,0.519,0.883,0.374,136,,4.6,,56.0,,2.42,-0.53,0.65,19197,1,0.2465437788018433,0.11867704280155641,0,0,225,0.06330765844267394,0.30551104853386857,0.006841032978548378,0.31235208151241695,5.681818181818182,7.011494252873563,4.883720930232558,6.5,5.163435504271225,4.875706180615377,0.5555555555555556,4.976915938714043,4.20223951915193,6.354558135365808,4.221740074697558,54.4271842732958
20043,Luis Robert,CHW,140,600,547,156,32,3,28,86,84,39,143,9,19,5,,0.286,0.341,0.51,0.851,0.36,128,,4.6,,16.4,,3.39,-1.23,0.51,20043,14,0.26142595978062155,0.065,0,0,278,0.3156854591394531,0.1250124195052993,0.007357220542094645,0.13236964004739393,6.931818181818182,7.126436781609195,8.13953488372093,6.25,4.736497710117935,1.6375656591750627,4.166666666666667,7.422452318271623,3.282583481475143,6.556847273651181,3.3144850715403744,59.56488802804629
