ID,Player,Round,Pos,Fantasy Team
*02c68*,Trea Turner,1,SS,Scavengers
*01spo*,Gerrit Cole,1,SP,Designated Drinkers
*02btf*,Mookie Betts,1,OF,Bajanda
*01ub6*,Jose Ramirez,1,3B,We are the champions
*004ee*,Max Scherzer,1,SP,Bobby Bombs
*02hjp*,Jacob deGrom,1,SP,DN
*01s8u*,Mike Trout,1,OF,Trader Joey's
*01fh9*,Bryce Harper,1,OF,Canha Get a Win?
*03120*,Cody Bellinger,2,OF,Pinstripes Pride
*024m0*,Jose Altuve,2,2B,Designated Drinkers
*005ih*,Clayton Kershaw,2,SP,Scavengers
*03aac*,Walker Buehler,3,SP,Designated Drinkers
*02w7p*,Alex Bregman,3,3B,DN
*02mwm*,Matt Olson,4,1B,Canha Get a Win?
*01cdf*,Giancarlo Stanton,4,UT,DN
*01gya*,Aroldis Chapman,4,RP,Pinstripes Pride
*025gb*,Xander Bogaerts,4,SS,Pequenos Campeones
*01c5l*,Yu Darvish,5,SP,Pequenos Campeones
*02i2e*,Jose Abreu,5,1B,Designated Drinkers
*01uc9*,Nick Castellanos,5,OF,We are the champions
*02z0s*,Aaron Judge,5,OF,Trader Joey's
*02i2q*,Carlos Correa,6,SS,Canha Get a Win?
*02mw6*,Corey Seager,6,SS,We are the champions
*030uc*,Rafael Devers,6,3B,Bajanda
*02bqr*,Blake Snell,6,SP,Pequenos Campeones
*03nuc*,Luis Castillo,6,SP,Scavengers
*03wha*,Ronald Acuna Jr.,6,OF,Lindor sucks !!!
*02bqh*,Trevor Story,7,SS,Freeman
*02yc4*,Shohei Ohtani,7,UT,Trader Joey's
*03aqv*,Raisel Iglesias,8,RP,Canha Get a Win?
*041rf*,Shane Bieber,8,SP,DN
*01sb3*,Zack Wheeler,8,SP,Bobby Bombs
*01s94*,Lance Lynn,8,SP,Pinstripes Pride
*03fi0*,Ozzie Albies,8,2B,Lindor sucks !!!
*02btx*,Tyler Glasnow,9,SP,Pinstripes Pride
*02n96*,Josh Hader,9,RP,Trader Joey's
*03d7g*,Alex Verdugo,11,OF,DN
*02vl6*,Julio Urias,11,SP,DN
*02i2j*,Max Fried,12,SP,Designated Drinkers
*03ynj*,Juan Soto,12,OF,Pequenos Campeones
*03ojr*,Vladimir Guerrero Jr.,12,1B,Freeman
*03110*,Tim Anderson,13,SS,Lindor sucks !!!
*03pir*,Kyle Tucker,13,OF,Trader Joey's
*042sz*,Will Smith,14,C,Pinstripes Pride
*02bu3*,Brandon Woodruff,15,SP,Canha Get a Win?
*025j1*,Robbie Ray,15,SP,Pinstripes Pride
*041qb*,Bo Bichette,15,SS,Designated Drinkers
*01ub8*,Liam Hendriks,15,RP,We are the champions
*030ud*,Eloy Jimenez,15,OF,DN
*0326s*,Ketel Marte,16,2B,We are the champions
*01sfi*,DJ LeMahieu,16,3B,Bajanda
*02bu9*,Marcus Semien,16,2B,Designated Drinkers
*03df2*,Dylan Cease,17,SP,Freeman
*03zbh*,Fernando Tatis Jr.,17,SS,Pinstripes Pride
*04355*,Yordan Alvarez,17,UT,We are the champions
*041pz*,Pete Alonso,17,1B,Bobby Bombs
*02i37*,Lucas Giolito,17,SP,Trader Joey's
*03e5m*,Bryan Reynolds,17,OF,Canha Get a Win?
*041rd*,Corbin Burnes,18,SP,Trader Joey's
*03pom*,Austin Riley,19,3B,Pinstripes Pride
*01u75*,Salvador Perez,20,C,Bajanda
*0310n*,Ryan McMahon,20,3B,Lindor sucks !!!
*03dc4*,Freddy Peralta,22,SP,Pequenos Campeones
*03dim*,John Means,24,SP,Canha Get a Win?
*02i2k*,Byron Buxton,24,OF,Trader Joey's
*02bqy*,Joe Musgrove,25,SP,Pequenos Campeones
*03qpi*,Patrick Sandoval,26,SP,Trader Joey's
*04eqa*,Garrett Whitlock,27,RP,Freeman
*02mwj*,Mitch Haniger,27,OF,Pequenos Campeones
*03ab0*,Luis Severino,27,P,Trader Joey's
*04si2*,Andrew Vaughn,28,OF,Bobby Bombs
*02c2h*,Chris Bassitt,28,SP,DN
*04mlt*,Shane McClanahan,28,SP,Bajanda
*03btv*,Sandy Alcantara,28,SP,Lindor sucks !!!
*03pit*,Trent Grisham,28,OF,Freeman
*02u47*,Chris Taylor,29,2B,Bobby Bombs
*03d6y*,Connor Joe,29,OF,Bobby Bombs
*040b5*,Randy Arozarena,29,OF,Scavengers
*03z62*,Bobby Dalbec,29,1B,Bobby Bombs
*043f9*,Pablo Lopez,29,SP,Bajanda
*04mlf*,Casey Mize,29,SP,Pinstripes Pride
*03qr0*,Cedric Mullins,29,OF,We are the champions
*01uwk*,Brandon Belt,29,1B,Bobby Bombs
*04ni3*,Luis Garcia,29,SP,Bobby Bombs
*03dbm*,Logan Webb,29,SP,Bobby Bombs
*041m2*,Alex Kirilloff,29,OF,Canha Get a Win?
*047l7*,Luis Robert,30,OF,Canha Get a Win?
*02hi7*,Kevin Gausman,30,SP,DN
*04nx3*,Jonathan India,30,2B,DN
*03d6v*,Michael Kopech,30,RP,Freeman
*04ak5*,Trevor Rogers,30,SP,We are the champions
*02xic*,Teoscar Hernandez,30,OF,Pinstripes Pride
*02yk4*,Tyler O'Neill,30,OF,Bajanda
*04p9n*,Jared Walsh,30,1B,Lindor sucks !!!
*04csx*,Wander Franco,30,SS,Scavengers
*02mwg*,Jesse Winker,30,OF,Lindor sucks !!!
*02c2r*,Carlos Rodon,30,SP,Freeman
