ID,Player,Position,Status,Age,ADP,IDFANGRAPHS
*03zbh*,Fernando Tatis Jr.,"SS,OF",Pinstrip,23,2.45,19709
*03ynj*,Juan Soto,OF,Hit,23,2.69,20123
*02c68*,Trea Turner,"2B,SS",Scavenge,28,3.35,16252
*03ojr*,Vladimir Guerrero Jr.,1B,lasmimis,22,4.77,19611
*01ub6*,Jose Ramirez,3B,La Maqui,29,5,13510
*041qb*,Bo Bichette,SS,La Maqui,23,7.88,19612
*01spo*,Gerrit Cole,SP,La Maqui,31,8.06,13125
*02yc4*,Shohei Ohtani,"UT,SP",miche,27,8.55,19755
*041rd*,Corbin Burnes,SP,miche,27,9.26,19361
*01fh9*,Bryce Harper,OF,Canha Ge,29,9.97,11579
*03wha*,Ronald Acuna Jr.,OF,METS,24,11.29,18401
*03aac*,Walker Buehler,SP,La Maqui,27,12.58,19374
*01s8u*,Mike Trout,OF,miche,30,13.56,10155
*03pir*,Kyle Tucker,OF,miche,24,15.4,18345
*02btf*,Mookie Betts,OF,sfernand,29,15.44,13611
*02bu3*,Brandon Woodruff,SP,Canha Ge,28,17.29,16162
*004ee*,Max Scherzer,SP,SLG,37,17.51,3137
*030uc*,Rafael Devers,3B,sfernand,25,19.64,17350
*01sb3*,Zack Wheeler,SP,SLG,31,19.77,10310
*01cgo*,Freddie Freeman,1B,lasmimis,32,20.6,5361
*02hjp*,Jacob deGrom,SP,99 prob,33,21.22,10954
*03fi0*,Ozzie Albies,2B,METS,25,21.62,16556
*047l7*,Luis Robert,OF,Canha Ge,24,23.46,20043
*041rf*,Shane Bieber,SP,99 prob,26,24.28,19427
*02vl6*,Julio Urias,SP,99 prob,25,29.64,14765
*01svq*,Manny Machado,3B,Canha Ge,29,29.95,11493
*04355*,Yordan Alvarez,OF,CALIXTO,24,30.08,19556
*02bu9*,Marcus Semien,"2B,SS",Hit,31,30.22,12533
*03btv*,Sandy Alcantara,SP,METS,26,30.87,18684
*03qr0*,Cedric Mullins,OF,CALIXTO,27,30.99,17929
*025j1*,Robbie Ray,SP,Pinstrip,30,31.72,11486
*02i3o*,Aaron Nola,SP,CALIXTO,28,33.62,16149
*02z0s*,Aaron Judge,OF,miche,29,35.24,15640
*02i37*,Lucas Giolito,SP,miche,27,35.44,15474
*02mwm*,Matt Olson,1B,Canha Ge,27,38.23,14344
*01s9k*,Starling Marte,OF,99 prob,33,39.87,9241
*02hjk*,Whit Merrifield,"2B,OF",Scavenge,32,40.17,11281
*02xic*,Teoscar Hernandez,OF,Pinstrip,29,41.4,13066
*03dc4*,Freddy Peralta,SP,miche,25,42.79,18679
*01u75*,Salvador Perez,C,sfernand,31,43.67,7304
