IDFANGRAPHS,ID,Player,Position,Status,Age,ADP,exit_velo_batting,brl_batting,xAVG_batting,xSLG_batting,xwOBA_batting,xOBP_batting,xISO_batting,xwoba_percentile_batting,xba_percentile_batting,xslg_percentile_batting,xiso_percentile_batting,xobp_percentile_batting,brl_percentile_batting,brl_percent_percentile_batting,exit_velocity_percentile_batting,hard_hit_percent_percentile_batting,k_percent_percentile_batting,bb_percent_percentile_batting,whiff_percent_percentile_batting,sprint_speed_percentile_batting,exit_velo_pitching,brl_pitching,xAVG_pitching,xSLG_pitching,xwOBA_pitching,xERA_pitching,xwoba_percentile_pitching,xba_percentile_pitching,xslg_percentile_pitching,xiso_percentile_pitching,xobp_percentile_pitching,brl_percent_percentile_pitching,exit_velocity_percentile_pitching,hard_hit_percent_percentile_pitching,k_percent_percentile_pitching,bb_percent_percentile_pitching,whiff_percent_percentile_pitching,xera_percentile_pitching,fb_velocity_percentile_pitching,fb_spin_percentile_pitching,curve_spin_percentile_pitching
19709,*03zbh*,Fernando Tatis Jr.,"SS,OF",Pinstrip,23,2.45,93.9,12.8,0.279,0.618,0.408,0.363,0.338,97.0,84.0,100.0,100.0,85.0,98.0,99.0,98.0,98.0,13.0,81.0,3.0,96.0,93.9,12.8,,,,,,,,,,,,,,,,,,,
20123,*03ynj*,Juan Soto,OF,Hit,23,2.69,93.0,8.4,0.304,0.544,0.429,0.462,0.24,99.0,97.0,93.0,84.0,100.0,90.0,83.0,94.0,95.0,90.0,100.0,80.0,52.0,93.0,8.4,,,,,,,,,,,,,,,,,,,
16252,*02c68*,Trea Turner,"2B,SS",Scavenge,28,3.35,89.6,5.6,0.303,0.484,0.363,0.354,0.181,83.0,97.0,78.0,53.0,78.0,68.0,39.0,55.0,77.0,74.0,15.0,64.0,100.0,89.6,5.6,,,,,,,,,,,,,,,,,,,
19611,*03ojr*,Vladimir Guerrero Jr.,1B,lasmimis,22,4.77,95.1,10.7,0.306,0.591,0.416,0.397,0.285,98.0,98.0,97.0,94.0,98.0,100.0,90.0,99.0,98.0,82.0,87.0,28.0,44.0,95.1,10.7,,,,,,,,,,,,,,,,,,,
13510,*01ub6*,Jose Ramirez,3B,La Maqui,29,5,90.0,8.2,0.281,0.505,0.374,0.371,0.224,87.0,88.0,84.0,78.0,91.0,87.0,73.0,66.0,60.0,92.0,81.0,94.0,77.0,90.0,8.2,,,,,,,,,,,,,,,,,,,
19612,*041qb*,Bo Bichette,SS,La Maqui,23,7.88,91.4,7.2,0.291,0.489,0.354,0.337,0.198,75.0,91.0,80.0,65.0,61.0,85.0,64.0,85.0,83.0,61.0,13.0,69.0,74.0,91.4,7.2,,,,,,,,,,,,,,,,,,,
13125,*01spo*,Gerrit Cole,SP,La Maqui,31,8.06,,,,,,,,,,,,,,,,,,,,,,,0.209,0.369,0.273,3.13,87.0,83.0,65.0,48.0,95.0,16.0,53.0,51.0,95.0,88.0,85.0,87.0,97.0,91.0,87.0
19755,*02yc4*,Shohei Ohtani,"UT,SP",miche,27,8.55,93.9,12.2,0.267,0.612,0.409,0.383,0.344,97.0,71.0,100.0,100.0,94.0,100.0,100.0,98.0,97.0,7.0,98.0,3.0,91.0,93.9,12.2,0.207,0.345,0.282,3.35,81.0,85.0,80.0,70.0,76.0,59.0,57.0,38.0,85.0,50.0,71.0,81.0,57.0,46.0,37.0
19361,*041rd*,Corbin Burnes,SP,miche,27,9.26,,,,,,,,,,,,,,,,,,,,4.0,,,0.18,0.256,0.218,2.0,99.0,96.0,99.0,98.0,99.0,97.0,96.0,94.0,97.0,92.0,97.0,99.0,81.0,100.0,92.0
11579,*01fh9*,Bryce Harper,OF,Canha Ge,29,9.97,92.5,10.9,0.301,0.61,0.43,0.424,0.309,100.0,97.0,99.0,97.0,99.0,97.0,97.0,92.0,91.0,43.0,99.0,11.0,70.0,92.5,10.9,,,,,,,,,,,,,,,,,,,
