playerid,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,K,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1.1,WAR,-1.2,ADP,playerid,NSB,K%,BB%,SF,SH,TB,wAVG,wOBP,wSLG,wOPS,rR,rRBI,rH,rHR,rK%,rBB%,rNSB,rwAVG,rwOBP,rwSLG,rwOPS,POINTS
20123,Juan Soto,WSN,153,663,527,162,31,3,34,107,99,128,98,4,11,5,,0.307,0.443,0.568,1.011,0.422,164,,6.8,,4.4,20123,6,0.1859582542694497,0.19306184012066366,0,0,301,0.5547823660099205,1.3210352569814177,0.014043090339157904,1.3350783473205756,9.879518072289157,9.176470588235293,8.604651162790697,7.560975609756097,7.046429349143855,10.0,1.7647058823529411,9.668203861707738,10.0,8.91259493703838,10.0,92.61354946331416
19709,Fernando Tatis Jr.,SDP,141,610,534,152,29,3,44,106,106,65,163,7,24,6,,0.285,0.368,0.596,0.963,0.401,155,,6.5,,1.8,19709,18,0.3052434456928839,0.10655737704918032,0,0,319,0.32586300575968563,0.42584091308479066,0.016924156604095464,0.4427650696888861,9.759036144578314,10.0,7.829457364341085,10.0,3.3868328830596797,4.266603581076438,5.294117647058823,7.331535969177219,5.145689182687302,10.0,5.199790505804523,78.21306327778339
13510,José Ramírez,CLE,148,635,553,153,35,4,37,98,97,70,90,6,24,5,,0.277,0.361,0.554,0.915,0.382,144,,6.4,,3.7,13510,19,0.162748643761302,0.11023622047244094,0,0,307,0.25109241230760193,0.3697171884333106,0.01295290414393424,0.3826700925772448,8.795180722891565,8.941176470588236,7.906976744186046,8.292682926829269,7.758485955510846,4.510432245630694,5.588235294117647,6.568323784616009,4.841350794558457,8.50112436356208,4.876508888332248,76.5804781908231
10155,Mike Trout,LAA,134,578,465,133,24,3,39,96,98,98,134,11,7,2,,0.285,0.417,0.599,1.016,0.421,170,,6.3,,14.2,10155,5,0.28817204301075267,0.1695501730103806,0,0,280,0.30018481035762323,0.9208806309148998,0.01537302446227401,0.9362536553771739,8.55421686746988,9.058823529411764,6.3565891472868215,8.78048780487805,3.9105730404180052,8.441679154731869,1.4705882352941178,7.0694287595968,7.830108128859309,9.414553922321636,7.854518003063374,78.74156659333163
16252,Trea Turner,LAD,147,651,592,180,33,5,28,108,90,48,112,5,31,7,,0.304,0.36,0.519,0.879,0.373,136,,6.0,,1.6,16252,24,0.1891891891891892,0.07373271889400922,0,0,307,0.5774756592859309,0.34772912035807013,0.009613013027975403,0.35734213338604554,10.0,8.117647058823529,10.0,6.097560975609756,6.9473062486706825,2.091030543142765,7.0588235294117645,9.899843028075617,4.722117560527017,7.240544364610585,4.740256841852701,76.91513015072442
13611,Mookie Betts,LAD,147,658,565,161,34,3,32,104,96,79,98,8,14,3,,0.285,0.378,0.527,0.904,0.383,143,,5.6,,15.8,13611,11,0.17345132743362832,0.12006079027355623,0,0,297,0.3461123677245159,0.5644396627946469,0.009993279983306624,0.5744329427779535,9.518072289156626,8.823529411764707,8.527131782945736,7.073170731707317,7.430134188812271,5.161591172178011,3.235294117647059,7.538228989355704,5.897259402684428,7.384069078893106,5.908099336712164,76.49658050185714
18401,Ronald Acuña Jr.,ATL,131,583,496,141,26,3,36,102,86,74,143,9,27,6,,0.284,0.384,0.567,0.951,0.399,148,,5.6,,9.1,18401,21,0.28830645161290325,0.1269296740994854,0,0,281,0.3013366520352667,0.5804213441379047,0.012849084666312793,0.5932704288042174,9.27710843373494,7.647058823529412,6.976744186046512,8.048780487804878,3.9064494669922354,5.616851311727583,6.176470588235294,7.081186050297271,5.983922202949372,8.461939625962149,6.009435808483651,75.18594698576328
19611,Vladimir Guerrero Jr.,TOR,152,652,563,173,32,2,37,103,104,77,98,7,3,1,,0.307,0.394,0.571,0.965,0.404,156,,5.4,,5.9,19611,2,0.17406749555950266,0.11809815950920245,0,0,320,0.5872878666650039,0.7523936269298037,0.014597306128580012,0.7669909330583837,9.397590361445783,9.764705882352942,9.457364341085272,8.292682926829269,7.411230528860392,5.031510713939498,0.5882352941176471,10.0,6.916464860670937,9.121773414717001,6.943967250255463,82.9255255742742
11579,Bryce Harper,PHI,150,646,527,146,31,2,37,100,100,107,144,6,11,4,,0.277,0.401,0.549,0.95,0.397,148,,5.2,,9.9,11579,7,0.2732447817836812,0.16563467492260062,0,0,292,0.24424977208144516,0.8209372942253212,0.012296344498310186,0.8332336387236314,9.036144578313253,9.294117647058824,7.364341085271318,8.292682926829269,4.368532253821037,8.18216534564402,2.0588235294117645,6.498478325939552,7.288152045559291,8.253318094238608,7.300320643874658,77.93707647596159
11368,Yasmani Grandal,CHW,126,512,415,98,16,1,27,73,70,86,123,4,1,0,,0.235,0.369,0.475,0.844,0.364,133,,5.2,,101.0,11368,1,0.2963855421686747,0.16796875,0,0,197,-0.14009279748153358,0.3633326954595173,0.003362484517149822,0.3666951799766671,5.783132530120482,5.764705882352941,3.643410852713178,5.853658536585366,3.658587926978252,8.336864620283778,0.29411764705882354,2.5753460008763285,4.806730029227391,4.881398227787869,4.7905716630813115,50.38852391706572
