playerid,Name,Team,GS,G,IP,W,L,SV,HLD,H,ER,HR,K,BB,WHIP,K/9,BB/9,ERA,FIP,-1,WAR,RA9-WAR,-1.1,ADP,playerid,POS,QS,wERA,wWHIP,wK/9,wBB/9,wH/9,wK/BB,RAPP,rIP,rwERA,rwWHIP,rwK/9,rwBB/9,rwH/9,rwK/BB,rSV,rHLD,rQS,rRAPP,POINTS
13125,Gerrit Cole,NYY,30,30,182.0,16,7,0,0,138,57,21,248,47,1.02,12.26,2.32,2.82,2.77,,5.8,6.0,,7.5,13125,SP,18.0,-0.3995444736915463,-0.08439211228980859,0.8051765478073044,-0.3267417241052803,-0.43278728650299847,3.8388078106035888,0,9.33977455716586,10.0,10.0,10.0,9.331887760122727,9.690352294282947,10.0,0.0,,10.0,0.0,78.36201461157154
10310,Zack Wheeler,PHI,30,30,192.3,14,7,0,0,168,69,17,201,46,1.11,9.41,2.15,3.23,3.06,,5.5,5.1,,24.3,10310,SP,18.0,-0.3267628467982415,-0.06691082031073958,0.21190676002239117,-0.37896095658148315,-0.2232364262151746,2.6644268412602075,0,9.892646269457863,8.93985731814309,8.698345669652108,5.511373170839499,9.988479992489287,7.101694268902596,7.9833391074788365,0.0,,10.0,0.0,68.11573579696328
19361,Corbin Burnes,MIL,26,27,156.0,11,5,0,0,116,48,13,204,48,1.05,11.77,2.77,2.77,2.7,,4.9,5.2,,11.3,19361,SP,15.0,-0.3624345369119139,-0.06810147664752342,0.6199401882331567,-0.2055927149253065,-0.40732057490240525,2.6131792475069933,0,7.944176060118089,9.459453854215521,8.787001758606316,8.598518059675776,7.808588879337265,9.37575273943324,7.895336133268767,0.0,,8.421052631578947,0.0,68.28988011623392
10954,Jacob deGrom,NYM,22,22,130.0,9,3,0,0,87,33,12,183,29,0.89,12.67,2.01,2.28,2.29,,4.8,4.9,,23.6,10954,SP,13.0,-0.38948767062554934,-0.08403746668909307,0.6779081564545174,-0.29848405235949793,-0.45785314784234066,3.3344685423765243,0,6.5485775630703165,9.85351184593713,9.973593142745804,9.037098588716056,8.976582503931919,10.0,9.133942642680141,0.0,,7.368421052631579,0.0,70.89172733971294
15474,Lucas Giolito,CHW,30,30,174.3,13,8,0,0,135,65,23,217,55,1.09,11.2,2.84,3.36,3.41,,4.5,4.4,,44.6,15474,SP,16.0,-0.2766309517429177,-0.06656156456819251,0.5625248470127283,-0.21061573258134647,-0.3884383485323861,2.502863112414364,0,8.926462694578635,8.209632343254418,8.67234014041379,8.16411865772805,7.871747110885362,9.142493726501197,7.705899961138209,0.0,,8.947368421052632,0.0,67.64006305555229
16149,Aaron Nola,PHI,32,32,184.7,12,7,0,0,154,71,24,217,51,1.11,10.58,2.49,3.46,3.47,,4.5,4.4,,41.2,16149,SP,17.0,-0.26752319136973945,-0.06545677634132474,0.4542164957162629,-0.29626742636287456,-0.2928435607090496,2.7590143428328266,0,9.484702093397745,8.076968016831955,8.590077777806858,7.3446672353547475,8.948711174874987,7.96157652891243,8.145765884071986,0.0,,9.473684210526315,0.0,68.02615292177703
19374,Walker Buehler,LAD,32,32,189.3,12,6,0,0,153,68,23,205,46,1.05,9.74,2.19,3.23,3.41,,4.5,4.7,,18.5,19374,SP,18.0,-0.3219964383713167,-0.07948523493604509,0.28311649585079446,-0.36688915287050894,-0.3484779615538989,2.7702384586582767,0,9.731615673644658,8.870429452509459,9.634634661805332,6.050139744357792,9.83669199846062,8.648848525965715,8.165040068539543,0.0,,10.0,0.0,70.93740012528312
16162,Brandon Woodruff,MIL,27,28,157.7,11,6,0,0,126,54,16,187,40,1.05,10.67,2.28,3.08,3.01,,4.3,4.5,,20.5,16162,SP,15.0,-0.3068972747877423,-0.06845045392244287,0.41924016296770505,-0.2988350526292912,-0.3172190326726946,2.6872106647721,0,8.035426731078905,8.650493893790046,8.81298655318762,7.080039390159739,8.980995897997216,8.262695603462895,8.022463758727422,0.0,,8.421052631578947,0.0,66.26615445998279
3137,Max Scherzer,NYM,28,28,169.3,12,7,0,0,128,58,24,231,43,1.01,12.28,2.29,3.08,3.19,,4.2,4.3,,20.2,3137,SP,16.0,-0.3246210690483467,-0.08095756878080795,0.7636292743393321,-0.3159686314888957,-0.4126494875383774,3.663181972498698,0,8.658078368223295,8.908660021453864,9.744264414975065,9.685656997530407,9.196429451084825,9.441582736230737,9.698413233296506,0.0,,8.947368421052632,0.0,74.28045364384732
15689,Luis Castillo,CIN,31,31,180.3,15,8,0,0,158,71,18,195,66,1.24,9.73,3.29,3.54,3.54,,4.0,4.4,,93.9,15689,SP,15.0,-0.24484077439980956,-0.0365112560352161,0.2699766709507888,-0.12131168907663342,-0.20728961524031397,1.2781264031317048,0,9.248523886205046,7.746574215759747,6.434798757484373,5.950724989399768,6.748859268540277,6.904697510442163,5.602767596326167,0.0,,8.421052631578947,0.0,57.057998855736486
