"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"Juan Soto","WSN","153","663","527","162","31","3","34","107","99","128","98","4","11","5","",".307",".443",".568","1.011",".422","164","","6.8","","4.4","20123"
"Fernando Tatis Jr.","SDP","141","610","534","152","29","3","44","106","106","65","163","7","24","6","",".285",".368",".596",".963",".401","155","","6.5","","1.8","19709"
"José Ramírez","CLE","148","635","553","153","35","4","37","98","97","70","90","6","24","5","",".277",".361",".554",".915",".382","144","","6.4","","3.7","13510"
"Mike Trout","LAA","134","578","465","133","24","3","39","96","98","98","134","11","7","2","",".285",".417",".599","1.016",".421","170","","6.3","","14.2","10155"
"Trea Turner","LAD","147","651","592","180","33","5","28","108","90","48","112","5","31","7","",".304",".360",".519",".879",".373","136","","6.0","","1.6","16252"
"Mookie Betts","LAD","147","658","565","161","34","3","32","104","96","79","98","8","14","3","",".285",".378",".527",".904",".383","143","","5.6","","15.8","13611"
"Ronald Acuña Jr.","ATL","131","583","496","141","26","3","36","102","86","74","143","9","27","6","",".284",".384",".567",".951",".399","148","","5.6","","9.1","18401"
"Vladimir Guerrero Jr.","TOR","152","652","563","173","32","2","37","103","104","77","98","7","3","1","",".307",".394",".571",".965",".404","156","","5.4","","5.9","19611"
"Bryce Harper","PHI","150","646","527","146","31","2","37","100","100","107","144","6","11","4","",".277",".401",".549",".950",".397","148","","5.2","","9.9","11579"
"Yasmani Grandal","CHW","126","512","415","98","16","1","27","73","70","86","123","4","1","0","",".235",".369",".475",".844",".364","133","","5.2","","101.0","11368"
"Alex Bregman","HOU","141","611","519","139","31","2","25","85","80","78","77","8","2","1","",".269",".369",".479",".848",".363","134","","5.1","","87.5","17678"
"Xander Bogaerts","BOS","149","640","565","163","34","2","27","91","88","64","116","5","4","1","",".289",".363",".500",".863",".367","130","","5.1","","45.5","12161"
"Rafael Devers","BOS","150","649","581","163","36","2","37","96","101","58","134","5","5","2","",".281",".350",".542",".891",".373","134","","4.9","","14.3","17350"
"Wander Franco","TBR","144","622","561","165","34","6","17","81","77","50","63","4","8","3","",".294",".354",".467",".822",".351","129","","4.9","","57.5","23667"
"Will Smith","LAD","128","514","440","114","23","2","29","75","81","56","108","11","2","1","",".259",".355",".514",".869",".367","132","","4.9","","56.0","19197"
"Aaron Judge","NYY","145","627","535","147","25","1","38","96","93","81","165","6","4","2","",".275",".374",".540",".914",".386","148","","4.9","","35.2","15640"
"Freddie Freeman","","146","665","567","168","34","3","29","94","95","87","109","7","7","3","",".297",".394",".519",".913",".384","143","","4.9","","20.4","5361"
"Jose Altuve","HOU","140","630","561","160","29","2","27","90","84","59","90","6","8","3","",".285",".356",".486",".843",".360","132","","4.7","","72.2","5417"
"Brandon Lowe","TBR","141","595","518","131","28","2","34","83","93","65","162","8","6","2","",".252",".343",".510",".853",".361","135","","4.7","","75.5","18882"
"Marcus Semien","TEX","150","666","591","154","31","2","34","92","93","64","129","3","10","3","",".261",".334",".492",".827",".352","125","","4.7","","39.2","12533"
"Shohei Ohtani","LAA","143","600","512","139","26","4","41","102","97","80","170","5","24","7","",".271",".373",".572",".945",".392","151","","4.6","","9.6","19755"
"Manny Machado","SDP","152","649","576","158","29","1","33","88","97","63","104","3","11","3","",".275",".347",".502",".849",".357","127","","4.6","","22.3","11493"
"Corey Seager","TEX","132","566","499","143","30","2","24","76","77","58","97","5","1","0","",".286",".364",".496",".860",".366","135","","4.5","","78.4","13624"
"Bo Bichette","TOR","150","648","594","173","37","3","25","94","84","43","129","5","17","5","",".291",".342",".490",".832",".354","122","","4.5","","5.3","19612"
"Carlos Correa","","140","615","540","147","29","1","25","80","81","65","120","5","1","0","",".273",".354",".471",".825",".353","123","","4.4","","101.3","14162"
"Nolan Arenado","STL","152","647","579","154","29","2","34","84","95","57","94","4","2","1","",".267",".333",".500",".833",".349","122","","4.3","","67.2","9777"
"Byron Buxton","MIN","122","498","454","123","28","4","30","81","75","34","124","6","16","3","",".272",".329",".551",".880",".369","135","","4.3","","53.7","14161"
"J.T. Realmuto","PHI","143","591","526","141","26","3","23","80","74","49","137","10","12","3","",".268",".339",".463",".802",".343","113","","4.3","","50.7","11739"
"Trevor Story","","141","633","564","144","32","3","29","90","83","57","161","7","21","5","",".256",".330",".476",".806",".343","116","","4.3","","38.2","12564"
"Francisco Lindor","NYM","147","646","569","146","28","2","27","86","84","63","109","6","15","4","",".257",".334",".453",".787",".336","115","","4.3","","53.6","12916"
"Anthony Rendon","LAA","134","577","494","132","29","1","23","75","76","70","89","7","1","0","",".267",".362",".473",".836",".357","127","","4.2","","108.2","12861"
"Matt Olson","OAK","150","639","544","140","28","1","38","87","95","80","129","10","3","1","",".258",".361",".520",".881",".371","140","","4.2","","42.3","14344"
"Luis Robert","CHW","140","600","544","152","31","3","27","86","81","41","142","10","14","4","",".279",".339",".498",".837",".355","127","","4.2","","16.4","20043"
"Jorge Polanco","MIN","147","638","576","156","31","4","27","87","83","49","115","5","9","3","",".271",".331",".480",".811",".344","119","","4.2","","76.9","13152"
"Kyle Tucker","HOU","149","613","546","147","34","4","30","90","87","56","114","5","15","4","",".269",".339",".506",".845",".356","129","","4.0","","12.7","18345"
"Ozzie Albies","ATL","148","646","588","162","34","6","28","94","84","47","118","5","20","4","",".276",".332",".498",".831",".350","117","","4.0","","17.5","16556"
"Bryan Reynolds","PIT","150","631","554","160","33","5","23","82","85","65","124","7","4","1","",".288",".367",".490",".857",".364","129","","4.0","","92.8","19326"
"Yordan Alvarez","HOU","144","615","537","150","32","1","35","91","100","67","147","6","2","1","",".280",".363",".543",".906",".379","145","","3.9","","27.9","19556"
"Pete Alonso","NYM","152","650","565","149","28","1","39","93","106","65","139","14","2","1","",".264",".352",".525",".877",".369","137","","3.9","","45.8","19251"
"Joey Gallo","NYY","143","596","486","105","18","1","41","92","95","99","202","7","4","1","",".217",".355",".516",".870",".368","135","","3.8","","171.1","14128"
"Justin Turner","LAD","130","549","479","135","27","1","23","78","78","51","90","13","2","0","",".282",".364",".487",".851",".364","131","","3.7","","152.0","5235"
"Ketel Marte","ARI","143","615","554","160","33","4","22","83","83","51","92","5","6","2","",".289",".352",".482",".834",".355","120","","3.7","","78.3","13613"
"Austin Riley","ATL","148","620","558","153","31","2","33","86","90","48","158","9","1","0","",".274",".339",".512",".851",".359","122","","3.6","","51.6","18360"
"Paul Goldschmidt","STL","150","659","573","156","28","2","28","92","85","75","138","5","7","2","",".272",".359",".474",".832",".357","127","","3.5","","47.8","9218"
"Yoán Moncada","CHW","144","618","534","139","28","4","21","83","71","74","160","6","5","2","",".260",".354",".445",".799",".345","120","","3.5","","157.1","17232"
"Tim Anderson","CHW","141","623","585","168","30","2","21","84","76","30","132","4","19","6","",".287",".324",".454",".778",".333","112","","3.5","","32.5","15172"
"Kris Bryant","","130","583","502","133","27","2","25","81","77","63","133","14","6","2","",".264",".360",".479",".838",".360","127","","3.5","","98.5","15429"
"George Springer","TOR","134","591","512","134","23","2","30","86","81","66","126","8","4","2","",".262",".353",".493",".846",".362","127","","3.5","","59.5","12856"
"Jonathan India","CIN","147","636","549","144","31","3","23","89","75","66","148","17","9","3","",".262",".356",".454",".810",".350","114","","3.5","","88.7","21523"
"Javier Báez","DET","144","590","547","143","26","4","30","81","84","32","173","6","15","4","",".261",".308",".488",".796",".335","112","","3.4","","62.8","12979"
"Starling Marte","NYM","138","604","546","150","26","3","16","86","63","40","113","13","34","6","",".275",".338",".420",".758",".329","111","","3.4","","27.7","9241"
"Max Muncy","LAD","125","525","439","112","20","1","31","80","82","75","114","8","2","1","",".255",".370",".516",".886",".376","138","","3.3","","150.1","13301"
"Jesse Winker","CIN","135","567","488","140","27","1","27","83","78","65","94","10","1","1","",".287",".380",".510",".890",".380","133","","3.3","","107.6","13590"
"Max Stassi","LAA","103","386","341","76","13","1","16","45","47","35","115","7","0","0","",".223",".307",".403",".709",".309","94","","3.3","","297.7","10059"
"Josh Donaldson","MIN","134","564","477","116","24","1","26","78","73","78","124","5","1","0","",".244",".356",".461",".816",".352","124","","3.2","","194.9","5038"
"Nick Castellanos","","142","637","577","163","36","3","30","87","94","48","140","7","3","1","",".282",".341",".513",".855",".361","128","","3.2","","61.5","11737"
"Salvador Perez","KCR","139","584","538","144","25","1","40","75","106","29","140","10","1","0","",".267",".314",".538",".852",".356","125","","3.2","","32.6","7304"
"Jake Cronenworth","SDP","142","598","533","145","30","4","17","76","70","53","89","7","7","2","",".272",".343",".440",".783",".336","113","","3.2","","123.2","18036"
"Matt Chapman","OAK","146","614","532","116","24","3","29","76","77","70","183","7","3","1","",".218",".315",".438",".753",".324","109","","3.2","","189.5","16505"
"Christian Yelich","MIL","137","584","494","134","26","2","22","84","71","80","132","6","15","4","",".272",".378",".465",".843",".362","125","","3.1","","101.8","11477"
"Omar Narváez","MIL","113","430","378","99","16","1","13","50","50","43","82","5","0","0","",".262",".342",".409",".752",".327","102","","3.1","","245.6","13338"
"Brandon Nimmo","NYM","123","522","435","115","23","4","13","73","52","73","108","11","7","3","",".264",".381",".424",".805",".354","127","","3.1","","314.9","12927"
"Brandon Crawford","SFG","130","530","464","122","25","2","20","68","68","49","109","5","6","2","",".263",".338",".458",".795",".338","114","","3.1","","214.0","5343"
"Cody Bellinger","LAD","143","581","506","125","25","3","28","82","83","66","129","4","9","3","",".247",".335",".474",".809",".342","116","","3.1","","97.2","15998"
"Willy Adames","MIL","144","593","529","135","26","2","26","78","78","57","161","3","6","2","",".255",".329",".459",".787",".337","109","","3.0","","124.6","15986"
"Mike Zunino","TBR","103","372","330","68","12","1","24","47","62","33","134","6","0","0","",".207",".290",".469",".759",".322","109","","2.9","","245.1","13265"
"Chris Taylor","LAD","139","557","491","127","27","4","21","80","70","55","152","7","8","2","",".260",".341",".458",".799",".343","117","","2.9","","135.0","13757"
"Tyler O'Neill","STL","139","545","490","124","24","2","31","79","80","44","167","7","12","2","",".252",".321",".500",".821",".347","121","","2.9","","47.0","15711"
"Dansby Swanson","ATL","150","635","572","145","29","2","25","82","78","53","157","5","9","3","",".253",".319",".445",".765",".326","100","","2.9","","121.0","18314"
"Mitch Garver","MIN","105","408","356","83","17","1","20","55","55","45","118","5","1","1","",".233",".324",".458",".782",".335","113","","2.9","","173.3","15161"
"Tyler Stephenson","CIN","130","479","425","113","24","1","14","59","55","43","100","7","0","0","",".267",".341",".423",".764",".331","101","","2.9","","136.5","17988"
"Jeimer Candelario","DET","144","609","534","134","32","3","18","72","69","63","133","7","1","0","",".251",".335",".423",".758",".328","108","","2.8","","239.5","13621"
"Randy Arozarena","TBR","142","600","528","136","27","3","23","82","72","54","158","15","18","7","",".257",".341",".447",".788",".339","121","","2.8","","62.5","19290"
"Amed Rosario","CLE","140","582","541","151","26","5","12","71","61","33","113","4","12","4","",".278",".322",".414",".737",".318","101","","2.8","","167.1","15518"
"Whit Merrifield","KCR","148","658","605","172","36","5","12","82","70","41","98","5","26","7","",".285",".333",".419",".751",".324","103","","2.8","","32.3","11281"
"Mitch Haniger","SEA","142","636","560","139","25","2","32","82","89","60","155","11","2","1","",".249",".331",".473",".803",".343","123","","2.8","","108.4","14274"
"DJ LeMahieu","NYY","145","647","577","162","26","2","13","79","63","61","93","4","3","1","",".281",".351",".401",".752",".329","109","","2.8","","115.4","9874"
"Cedric Mullins","BAL","149","644","575","147","31","5","23","87","70","53","121","7","25","5","",".255",".323",".448",".771",".330","107","","2.8","","33.0","17929"
"Enrique Hernández","BOS","140","581","512","128","30","2","22","75","73","57","110","6","2","1","",".250",".330",".449",".779",".335","108","","2.8","","223.6","10472"
"Kyle Schwarber","","130","567","483","116","21","1","33","79","86","74","154","6","2","1","",".241",".347",".495",".842",".357","125","","2.7","","120.6","16478"
"Rhys Hoskins","PHI","132","574","487","119","25","1","32","81","85","73","135","9","4","1","",".243",".350",".499",".849",".361","124","","2.7","","129.4","16472"
"Willson Contreras","CHC","130","524","453","114","20","2","24","70","66","53","141","13","5","2","",".251",".345",".461",".805",".347","115","","2.7","","112.7","11609"
"Eloy Jiménez","CHW","142","588","535","147","30","2","30","79","87","44","138","4","1","0","",".275",".333",".504",".837",".354","126","","2.7","","64.5","17484"
"Harrison Bader","STL","139","517","461","114","22","2","19","67","61","41","125","10","11","4","",".248",".321",".432",".754",".323","105","","2.6","","234.9","18030"
"Luis Urías","MIL","141","550","481","123","23","2","19","71","66","56","111","10","5","2","",".255",".342",".434",".776",".335","108","","2.6","","157.4","16622"
"José Abreu","CHW","149","646","575","153","29","2","30","85","89","51","136","14","1","0","",".266",".337",".480",".817",".348","122","","2.6","","75.1","15676"
"Kolten Wong","MIL","131","553","489","131","26","4","14","72","58","44","89","14","14","4","",".268",".344",".420",".764",".331","105","","2.6","","191.0","12532"
"Ramón Laureano","OAK","119","500","443","109","23","2","19","64","57","43","127","10","11","3","",".247",".325",".439",".763",".329","112","","2.6","","235.2","17128"
"Brandon Belt","SFG","123","507","431","107","22","3","27","72","73","67","125","5","4","1","",".248",".353",".499",".852",".362","129","","2.6","","225.6","10264"
"Luis Arraez","MIN","134","554","496","148","28","3","4","66","53","49","53","3","3","1","",".299",".362",".396",".758",".331","110","","2.6","","319.3","18568"
"Eduardo Escobar","NYM","141","587","529","129","24","3","24","71","79","48","124","4","2","1","",".244",".308",".441",".749",".319","104","","2.6","","195.2","6153"
"Ke'Bryan Hayes","PIT","140","602","542","142","30","4","14","71","63","51","126","5","11","3","",".261",".328",".409",".737",".320","100","","2.6","","140.5","18577"
"Mark Canha","NYM","137","575","485","118","24","2","19","76","64","66","124","19","6","2","",".243",".354",".415",".769",".338","117","","2.6","","283.6","11445"
"Gleyber Torres","NYY","140","578","513","132","25","1","18","72","62","55","116","5","9","4","",".258",".333",".417",".749",".324","106","","2.6","","152.8","16997"
"Trent Grisham","SDP","137","578","502","122","26","4","19","77","65","65","131","6","15","4","",".243",".334",".426",".760",".329","108","","2.5","","143.6","18564"
"Giancarlo Stanton","NYY","137","580","505","129","21","0","34","82","82","65","158","6","0","0","",".255",".345",".497",".842",".358","129","","2.5","","96.4","4949"
"Austin Meadows","TBR","136","578","508","128","29","4","27","76","82","58","124","7","7","2","",".251",".332",".481",".813",".345","124","","2.5","","141.4","15672"
"Carson Kelly","ARI","107","406","353","88","17","1","16","49","54","44","84","5","0","0","",".249",".338",".439",".777",".334","106","","2.4","","268.5","13620"
"Jean Segura","PHI","134","580","527","149","25","2","14","72","64","39","85","7","9","3","",".283",".338",".422",".760",".329","103","","2.4","","203.8","5933"
"Sean Murphy","OAK","113","425","375","82","17","1","16","46","48","41","110","6","0","0","",".218",".303",".394",".697",".303","95","","2.4","","249.2","19352"
"J.D. Martinez","BOS","144","624","554","154","33","2","28","85","89","60","143","4","0","0","",".277",".349",".498",".847",".357","123","","2.4","","89.1","6184"
"Eugenio Suárez","CIN","131","541","472","114","19","1","33","76","83","56","153","8","2","1","",".241",".329",".493",".821",".349","113","","2.3","","194.2","12552"
"Gary Sánchez","NYY","103","406","353","77","13","0","22","51","55","43","113","7","0","0","",".218",".312",".447",".759",".325","107","","2.3","","256.0","11442"
"Franmil Reyes","CLE","144","593","526","135","23","1","36","81","95","58","171","4","2","1","",".256",".332",".511",".843",".355","126","","2.3","","121.2","14566"
"Adley Rutschman","BAL","101","411","364","88","19","2","12","46","45","41","84","4","2","1","",".241",".322",".399",".721",".312","95","","2.3","","181.8","sa3011643"
"Alex Verdugo","BOS","144","607","544","153","35","2","15","77","69","54","94","5","5","2","",".281",".349",".433",".782",".337","109","","2.3","","163.8","17027"
"Michael Conforto","","135","580","496","127","27","1","22","74","73","70","129","10","3","1","",".255",".356",".445",".802",".346","118","","2.3","","204.4","16376"
